epoch,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
2.94,0.00019800000000000002,3.2591,500,2.6484375,0.7712,4193.475,27.23,,,,,
5.88,0.000398,2.4378,1000,2.328125,0.7803,4144.814,26.914,,,,,
8.82,0.0003990560950331089,2.1816,1500,2.140625,0.7307,4425.688,28.738,,,,,
11.76,0.0003961952674387664,2.016,2000,2.03125,0.8106,3989.63,25.907,,,,,
14.71,0.0003914449721677457,1.9093,2500,1.9609375,0.8005,4040.01,26.234,,,,,
17.65,0.0003848509571602823,1.8373,3000,1.9150390625,0.8462,3821.792,24.817,,,,,
20.59,0.0003764952006803837,1.7807,3500,1.8671875,0.7344,4403.888,28.597,,,,,
23.53,0.0003664247101816793,1.7314,4000,1.8447265625,0.7149,4523.575,29.374,,,,,
26.47,0.00035475145874692455,1.6907,4500,1.8193359375,0.7061,4580.394,29.743,,,,,
29.41,0.00034158786616868443,1.6524,5000,1.79296875,0.722,4479.061,29.085,,,,,
32.35,0.00032709102926898296,1.62,5500,1.771484375,0.7445,4343.58,28.205,,,,,
35.29,0.000311342503726229,1.5876,6000,1.76171875,0.7083,4565.969,29.649,,,,,
38.24,0.000294556294675315,1.5574,6500,1.73828125,0.7405,4367.107,28.358,,,,,
41.18,0.0002768268372455405,1.5281,7000,1.720703125,0.745,4340.692,28.186,,,,,
44.12,0.0002584326128866821,1.5014,7500,1.7099609375,0.7913,4087.099,26.54,,,,,
47.06,0.0002394031424212773,1.4755,8000,1.6982421875,0.7039,4594.681,29.836,,,,,
50.0,0.0002199941981544069,1.4491,8500,1.6923828125,0.7846,4121.62,26.764,,,,,
52.94,0.00020039269882936905,1.4241,9000,1.677734375,0.7199,4492.29,29.171,,,,,
55.88,0.00018082650626526163,1.4001,9500,1.6640625,0.7569,4272.438,27.743,,,,,
58.82,0.0001614056951024688,1.3748,10000,1.658203125,0.7775,4159.522,27.01,,,,,
61.76,0.0001423565681936324,1.3559,10500,1.650390625,0.7399,4371.062,28.384,,,,,
64.71,0.000123898893549412,1.3305,11000,1.654296875,0.7285,4439.416,28.827,,,,,
67.65,0.00010613650955799346,1.3134,11500,1.64453125,0.7394,4373.83,28.401,,,,,
70.59,8.931078747484924e-05,1.2942,12000,1.630859375,0.7466,4331.471,28.126,,,,,
73.53,7.351638471998772e-05,1.2757,12500,1.6376953125,0.8302,3895.546,25.296,,,,,
76.47,5.896792984913777e-05,1.2606,13000,1.6318359375,0.7325,4414.802,28.668,,,,,
79.41,4.574726893085901e-05,1.2447,13500,1.630859375,0.7257,4456.443,28.938,,,,,
82.35,3.401214613589632e-05,1.2338,14000,1.6259765625,0.6853,4719.082,30.643,,,,,
85.29,2.3894187345637598e-05,1.2254,14500,1.62890625,0.7181,4503.733,29.245,,,,,
88.24,1.545031373529917e-05,1.215,15000,1.62109375,0.7299,4430.616,28.77,,,,,
91.18,8.79526825691741e-06,1.2091,15500,1.62109375,0.7312,4422.591,28.718,,,,,
94.12,3.966490577682191e-06,1.2075,16000,1.623046875,0.7405,4367.463,28.36,,,,,
97.06,1.0256227570008215e-06,1.2045,16500,1.615234375,0.7874,4107.443,26.672,,,,,
100.0,1.114184774841931e-09,1.2045,17000,1.619140625,0.775,4172.859,27.096,3.161050575001354e+17,1.5584959644990808,1693.6987,1596.978,10.037
