epoch,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
2.94,0.0001964,3.3494,500,2.53515625,2.3498,1376.273,8.937,,,,,
5.88,0.00039640000000000004,1.591,1000,2.115234375,2.2021,1468.575,9.536,,,,,
8.82,0.0003990712766566525,1.4171,1500,1.8740234375,2.3821,1357.632,8.816,,,,,
11.76,0.0003962257003760425,1.2994,2000,1.7666015625,2.2155,1459.693,9.479,,,,,
14.71,0.00039149036333293197,1.2045,2500,1.6826171875,2.1816,1482.406,9.626,,,,,
17.65,0.00038491086941164465,1.1355,3000,1.6435546875,2.1783,1484.635,9.64,,,,,
20.59,0.0003765505827353598,1.0759,3500,1.5595703125,2.1366,1513.634,9.829,,,,,
23.53,0.00036649001743496766,1.0242,4000,1.55859375,2.2799,1418.513,9.211,,,,,
26.47,0.00035482606225397523,0.9763,4500,1.517578125,2.2004,1469.704,9.544,,,,,
29.41,0.00034167104745694223,0.9334,5000,1.4892578125,2.1406,1510.826,9.811,,,,,
32.35,0.00032715166302762653,0.8918,5500,1.4833984375,2.2149,1460.117,9.481,,,,,
35.29,0.00031140773857518526,0.8525,6000,1.4794921875,2.1862,1479.265,9.606,,,,,
38.24,0.00029459089669860015,0.814,6500,1.46875,2.2245,1453.802,9.44,,,,,
41.18,0.00027686309277816354,0.7751,7000,1.4658203125,2.1941,1473.964,9.571,,,,,
44.12,0.0002583950552566326,0.7381,7500,1.4697265625,2.1738,1487.693,9.66,,,,,
47.06,0.00023936464143099599,0.7038,8000,1.466796875,2.1684,1491.388,9.684,,,,,
50.0,0.0002199941981544069,0.6686,8500,1.4775390625,2.1342,1515.349,9.84,,,,,
52.94,0.00020039269882936905,0.6363,9000,1.4853515625,2.1809,1482.849,9.629,,,,,
55.88,0.00018082650626526163,0.6043,9500,1.4794921875,2.4071,1343.536,8.724,,,,,
58.82,0.0001614056951024688,0.5743,10000,1.498046875,2.1887,1477.589,9.595,,,,,
61.76,0.00014239417279704624,0.5462,10500,1.52734375,2.1818,1482.269,9.625,,,,,
64.71,0.000123898893549412,0.5191,11000,1.5458984375,2.2152,1459.903,9.48,,,,,
67.65,0.00010620586976981504,0.4963,11500,1.5654296875,2.3373,1383.628,8.985,,,,,
70.59,8.934349692658066e-05,0.474,12000,1.599609375,2.2223,1455.256,9.45,,,,,
73.53,7.354680669894105e-05,0.4537,12500,1.626953125,2.2205,1456.439,9.457,,,,,
76.47,5.896792984913777e-05,0.4362,13000,1.650390625,2.266,1427.171,9.267,,,,,
79.41,4.577226782149433e-05,0.4211,13500,1.6591796875,2.1737,1487.755,9.661,,,,,
82.35,3.403405620106728e-05,0.4091,14000,1.6865234375,2.4103,1341.749,8.713,,,,,
85.29,2.3912804368871712e-05,0.3993,14500,1.7001953125,2.1179,1527.006,9.916,,,,,
88.24,1.5480597431041576e-05,0.3909,15000,1.703125,2.2977,1407.467,9.139,,,,,
91.18,8.80678939656754e-06,0.3847,15500,1.7080078125,2.1872,1478.619,9.601,,,,,
94.12,3.9742764970450266e-06,0.381,16000,1.712890625,2.2893,1412.683,9.173,,,,,
97.06,1.0295984734167041e-06,0.3793,16500,1.716796875,2.1745,1487.252,9.657,,,,,
100.0,1.2491205067632906e-09,0.3784,17000,1.7197265625,2.24,1443.736,9.375,1.384051308465488e+18,0.8039576784021714,7192.3904,376.064,2.364
