epoch,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.04,0.00039840000000000003,3.2393,1000,3.01171875,6.8055,8816.407,55.103,,,,,
0.09,0.00039998205050713624,2.9524,2000,2.89453125,6.6928,8964.855,56.03,,,,,
0.13,0.0003999279166459084,2.8677,3000,2.83203125,6.7774,8852.971,55.331,,,,,
0.17,0.0003998377162949388,2.8338,4000,2.828125,6.8445,8766.133,54.788,,,,,
0.21,0.00039971157413078444,2.81,5000,2.806640625,6.7035,8950.591,55.941,,,,,
0.26,0.0003995490796107545,2.7923,6000,2.767578125,6.7318,8912.859,55.705,,,,,
0.3,0.0003993506953989275,2.7784,7000,2.7734375,6.6668,8999.849,56.249,,,,,
0.34,0.0003991160602312546,2.7635,8000,2.7578125,6.5917,9102.33,56.89,,,,,
0.38,0.00039884568574092714,2.7513,9000,2.75,7.0604,8498.077,53.113,,,,,
0.43,0.00039853940412706054,2.7438,10000,2.7265625,6.5885,9106.837,56.918,,,,,
0.47,0.0003981972706973255,2.733,11000,2.71875,6.5991,9092.155,56.826,,,,,
0.51,0.0003978189510230763,2.7256,12000,2.70703125,6.5079,9219.512,57.622,,,,,
0.55,0.0003974052700484345,2.7163,13000,2.728515625,6.4918,9242.394,57.765,,,,,
0.6,0.00039695594205740143,2.7109,14000,2.7109375,6.5276,9191.735,57.448,,,,,
0.64,0.0003964710481886534,2.7032,15000,2.71484375,6.5891,9105.895,56.912,,,,,
0.68,0.00039595067600327544,2.697,16000,2.689453125,6.6161,9068.788,56.68,,,,,
0.72,0.0003953949194689506,2.6875,17000,2.701171875,6.6814,8980.189,56.126,,,,,
0.77,0.00039480326966863464,2.6828,18000,2.70703125,6.7135,8937.181,55.857,,,,,
0.81,0.0003941776611542154,2.6788,19000,2.7109375,6.7239,8923.453,55.772,,,,,
0.85,0.0003935156997119312,2.6699,20000,2.689453125,6.9331,8654.101,54.088,,,,,
0.9,0.00039281943805468436,2.6679,21000,2.6796875,6.6728,8991.663,56.198,,,,,
0.94,0.00039208835748066195,2.663,22000,2.66796875,6.7197,8929.027,55.806,,,,,
0.98,0.0003913225900068117,2.6564,23000,2.669921875,6.6577,9012.174,56.326,,,,,
1.02,0.0003905222739137665,2.6512,24000,2.697265625,6.6067,9081.732,56.761,,,,,
1.07,0.00038968670097847257,2.6461,25000,2.66796875,6.723,8924.632,55.779,,,,,
1.11,0.0003888176932076296,2.6417,26000,2.66796875,6.5316,9186.049,57.413,,,,,
1.15,0.000387914589146434,2.6384,27000,2.66015625,6.5747,9125.847,57.037,,,,,
1.19,0.0003869775518754624,2.6341,28000,2.662109375,6.6489,9024.004,56.4,,,,,
1.24,0.000386006750602877,2.6314,29000,2.66015625,7.5686,7927.466,49.547,,,,,
1.28,0.0003850013384706223,2.6286,30000,2.654296875,6.5062,9221.959,57.637,,,,,
1.32,0.0003839635078278801,2.6235,31000,2.66015625,6.6136,9072.213,56.701,,,,,
1.36,0.00038289245745307446,2.621,32000,2.658203125,6.6492,9023.676,56.398,,,,,
1.41,0.00038178838075416386,2.618,33000,2.64453125,6.669,8996.801,56.23,,,,,
1.45,0.00038065147710292886,2.6135,34000,2.64453125,6.5192,9203.532,57.522,,,,,
1.49,0.00037948076482955637,2.6107,35000,2.6484375,6.7273,8918.823,55.743,,,,,
1.53,0.00037827757739127064,2.6079,36000,2.640625,6.3561,9439.703,58.998,,,,,
1.58,0.00037704463542737043,2.6048,37000,2.6484375,6.3927,9385.651,58.66,,,,,
1.62,0.00037577722044929705,2.6006,38000,2.638671875,6.6444,9030.197,56.439,,,,,
1.66,0.00037447931545276454,2.5972,39000,2.65234375,6.8058,8816.062,55.1,,,,,
1.71,0.00037314855691090873,2.5955,40000,2.6328125,6.4602,9287.632,58.048,,,,,
