epoch,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.04,0.00039640000000000004,3.0882,1000,3.09375,8.0937,7413.17,46.332,,,,,
0.09,0.00039998223026791715,2.443,2000,2.89453125,8.1286,7381.374,46.134,,,,,
0.13,0.0003999282773110691,2.3872,3000,2.841796875,7.8698,7624.039,47.65,,,,,
0.17,0.00039983814942604604,2.3551,4000,2.8203125,7.9204,7575.35,47.346,,,,,
0.21,0.0003997118629205451,2.3311,5000,2.837890625,7.9867,7512.528,46.953,,,,,
0.26,0.0003995494406447869,2.315,6000,2.791015625,8.0744,7430.867,46.443,,,,,
0.3,0.0003993509119873815,2.2997,7000,2.744140625,7.9721,7526.251,47.039,,,,,
0.34,0.0003991168180394361,2.2866,8000,2.75,8.0032,7496.965,46.856,,,,,
0.38,0.00039884626291967866,2.2735,9000,2.69140625,8.1067,7401.279,46.258,,,,,
0.43,0.00039854005313885493,2.2653,10000,2.7578125,8.0346,7467.705,46.673,,,,,
0.47,0.0003981976310790768,2.2558,11000,2.7109375,7.8984,7596.513,47.478,,,,,
0.51,0.000397820139546775,2.249,12000,2.6484375,8.0331,7469.13,46.682,,,,,
0.55,0.00039740613387583527,2.2385,13000,2.611328125,7.9333,7563.048,47.269,,,,,
0.6,0.00039695687717128863,2.2332,14000,2.609375,8.0394,7463.232,46.645,,,,,
0.64,0.0003964715513221847,2.2252,15000,2.65234375,7.9654,7532.556,47.078,,,,,
0.68,0.0003959517531707105,2.2192,16000,2.630859375,7.9695,7528.75,47.055,,,,,
0.72,0.0003953960673777955,2.2121,17000,2.615234375,7.9282,7567.943,47.3,,,,,
0.77,0.0003948050973859588,2.2075,18000,2.591796875,8.0663,7438.328,46.49,,,,,
0.81,0.0003941783055503164,2.2011,19000,2.583984375,7.8532,7640.202,47.751,,,,,
0.85,0.00039351773802212195,2.1949,20000,2.6015625,7.8741,7619.947,47.625,,,,,
0.9,0.00039282158111868926,2.1943,21000,2.58984375,8.0187,7482.5,46.766,,,,,
0.94,0.00039208985580263853,2.1882,22000,2.607421875,8.0002,7499.767,46.874,,,,,
0.98,0.0003913233738387026,2.1824,23000,2.626953125,8.1209,7388.343,46.177,,,,,
1.02,0.0003905230922576389,2.177,24000,2.615234375,7.9612,7536.516,47.103,,,,,
1.07,0.0003896884064289534,2.1722,25000,2.5625,8.1222,7387.126,46.17,,,,,
1.11,0.00038881858016010055,2.1675,26000,2.615234375,7.9851,7513.962,46.962,,,,,
1.15,0.0003879164311171848,2.1657,27000,2.5546875,8.0255,7476.156,46.726,,,,,
1.19,0.0003869794616135682,2.1629,28000,2.5703125,8.0854,7420.74,46.38,,,,,
1.24,0.0003860077392000076,2.1581,29000,2.609375,8.144,7367.391,46.046,,,,,
1.28,0.00038500338276364367,2.1551,30000,2.5234375,7.954,7543.421,47.146,,,,,
1.32,0.0003839656188168513,2.151,31000,2.513671875,7.9951,7504.639,46.904,,,,,
1.36,0.0003828946347567976,2.1501,32000,2.564453125,7.8493,7643.953,47.775,,,,,
1.41,0.0003817895023832617,2.1468,33000,2.53515625,8.1133,7395.244,46.22,,,,,
1.45,0.0003806537858447334,2.1435,34000,2.53125,7.8957,7599.059,47.494,,,,,
1.49,0.00037948432564036935,2.1403,35000,2.53125,7.992,7507.507,46.922,,,,,
1.53,0.0003782824545449663,2.1382,36000,2.49609375,8.0105,7490.198,46.814,,,,,
1.58,0.00037704713823436225,2.1328,37000,2.55078125,7.9779,7520.818,47.005,,,,,
1.62,0.000375781070374782,2.1319,38000,2.48828125,7.8767,7617.4,47.609,,,,,
1.66,0.0003744845752525802,2.128,39000,2.541015625,8.0651,7439.435,46.496,,,,,
1.71,0.0003731539425156908,2.1262,40000,2.498046875,8.0133,7487.577,46.797,,,,,
1.75,0.00037179335691724243,2.1257,41000,2.494140625,7.9814,7517.435,46.984,,,,,
1.79,0.00037040174924624027,2.1237,42000,2.484375,8.0798,7425.891,46.412,,,,,
1.83,0.0003689779316630965,2.1195,43000,2.48046875,8.1265,7383.278,46.145,,,,,
1.88,0.0003675235392927176,2.1175,44000,2.46484375,7.932,7564.28,47.277,,,,,
1.92,0.0003660403350478743,2.1142,45000,2.515625,7.9103,7585.082,47.407,,,,,
1.96,0.00036452714759871435,2.1116,46000,2.4921875,8.0639,7440.598,46.504,,,,,
2.0,0.000362984250193352,2.1104,47000,2.486328125,8.1481,7363.647,46.023,,,,,
2.05,0.00036141192144486134,2.1031,48000,2.4765625,8.0279,7473.964,46.712,,,,,
2.09,0.00035981044528096446,2.1028,49000,2.4921875,8.0197,7481.611,46.76,,,,,
2.13,0.00035817846456634005,2.1022,50000,2.525390625,8.1279,7381.963,46.137,,,,,
2.17,0.0003565195379128942,2.1009,51000,2.462890625,7.9337,7562.662,47.267,,,,,
2.22,0.000354832347300071,2.0991,52000,2.49609375,8.1203,7388.873,46.18,,,,,
2.26,0.00035311719739709944,2.0939,53000,2.453125,8.0025,7497.667,46.86,,,,,
2.3,0.000351372639630293,2.0925,54000,2.466796875,7.9377,7558.868,47.243,,,,,
2.34,0.00034960247809119767,2.0932,55000,2.4921875,8.0623,7442.059,46.513,,,,,
2.39,0.000347805301660416,2.0912,56000,2.455078125,8.1085,7399.685,46.248,,,,,
2.43,0.0003459814348681779,2.0885,57000,2.46875,7.9606,7537.085,47.107,,,,,
2.47,0.00034413120706440107,2.0838,58000,2.498046875,8.1222,7387.165,46.17,,,,,
2.52,0.0003422549523592176,2.085,59000,2.44921875,8.1195,7389.578,46.185,,,,,
2.56,0.0003403510929606111,2.0832,60000,2.431640625,8.3211,7210.556,45.066,,,,,
2.6,0.0003384237803249453,2.0795,61000,2.44140625,8.0113,7489.439,46.809,,,,,
2.64,0.00033647147142264,2.0779,62000,2.435546875,8.0559,7447.984,46.55,,,,,
2.69,0.00033449451879741113,2.0786,63000,2.408203125,8.1101,7398.149,46.238,,,,,
2.73,0.00033249126415319874,2.0755,64000,2.455078125,8.1286,7381.334,46.133,,,,,
2.77,0.0003304660756824478,2.0736,65000,2.419921875,8.1501,7361.886,46.012,,,,,
2.81,0.0003284173279301376,2.0715,66000,2.41015625,8.0165,7484.533,46.778,,,,,
2.86,0.0003263453908547028,2.0708,67000,2.412109375,7.9992,7500.715,46.879,,,,,
2.9,0.00032424853044858026,2.0684,68000,2.42578125,8.085,7421.146,46.382,,,,,
2.94,0.0003221313190160499,2.0666,69000,2.439453125,8.0212,7480.146,46.751,,,,,
2.98,0.00031998990104679974,2.0671,70000,2.416015625,8.0232,7478.272,46.739,,,,,
3.03,0.00031782894600500483,2.0629,71000,2.427734375,8.1076,7400.471,46.253,,,,,
3.07,0.00031564451872182967,2.059,72000,2.439453125,7.8608,7632.843,47.705,,,,,
3.11,0.00031344138244531286,2.0579,73000,2.439453125,7.9991,7500.798,46.88,,,,,
3.15,0.0003112177611694923,2.0575,74000,2.431640625,8.0669,7437.804,46.486,,,,,
3.2,0.00030897405643108534,2.0546,75000,2.416015625,8.069,7435.88,46.474,,,,,
