epoch,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0.02,0.0001964,3.0497,500,2.291015625,30.3274,1978.406,24.73
0.04,0.00039640000000000004,2.029,1000,2.234375,30.164,1989.126,24.864
0.06,0.000399995637468267,2.0471,1500,2.294921875,30.1892,1987.468,24.843
0.09,0.0003999822287461351,2.0223,2000,2.181640625,30.1403,1990.693,24.884
0.11,0.00039995977297444717,1.988,2500,2.15234375,32.5166,1845.21,23.065
0.13,0.0003999282711690859,1.9672,3000,2.095703125,30.1372,1990.898,24.886
0.15,0.00039988772475517,1.9576,3500,2.12109375,30.3079,1979.683,24.746
0.17,0.00039983813556698945,1.9473,4000,2.12109375,30.0843,1994.398,24.93
0.19,0.00039977950584792286,1.9386,4500,2.1171875,30.3416,1977.483,24.719
0.21,0.00039971183825033565,1.9281,5000,2.0703125,30.1402,1990.698,24.884
0.23,0.0003996351358354606,1.9244,5500,2.041015625,30.2472,1983.657,24.796
0.26,0.00039954940207325844,1.9172,6000,2.072265625,30.192,1987.283,24.841
0.28,0.00039945523632126676,1.9125,6500,2.078125,30.235,1984.457,24.806
0.3,0.00039935150603390314,1.907,7000,2.0625,30.3939,1974.084,24.676
0.32,0.00039923875723041715,1.8986,7500,2.126953125,30.0674,1995.514,24.944
0.34,0.00039911724752771506,1.899,8000,2.05078125,30.1497,1990.072,24.876
0.36,0.0003989864954118101,1.892,8500,2.005859375,30.7698,1949.965,24.375
0.38,0.00039884674129259595,1.8878,9000,2.041015625,30.1082,1992.815,24.91
0.41,0.0003986979914924465,1.8871,9500,1.998046875,30.1249,1991.706,24.896
0.43,0.00039854025274069384,1.8805,10000,1.98828125,30.2797,1981.528,24.769
0.45,0.0003983738745733648,1.8776,10500,2.021484375,30.1363,1990.957,24.887
0.47,0.0003981981976734427,1.8753,11000,2.001953125,30.0133,1999.115,24.989
0.49,0.0003980135544322237,1.8723,11500,2.005859375,30.2187,1985.527,24.819
0.51,0.0003978203493396098,1.8692,12000,2.001953125,30.2685,1982.259,24.778
0.53,0.0003976178167698743,1.8666,12500,1.9619140625,30.0751,1995.005,24.938
0.55,0.0003974067759760726,1.8615,13000,1.990234375,30.6143,1959.867,24.498
0.58,0.00039718639065384586,1.8613,13500,1.9580078125,30.2609,1982.756,24.784
0.6,0.0003969570847637307,1.8559,14000,1.982421875,30.292,1980.724,24.759
0.62,0.0003967188686793576,1.8556,14500,1.94921875,30.308,1979.677,24.746
0.64,0.0003964722562827067,1.8531,15000,1.9697265625,30.2496,1983.494,24.794
0.66,0.00039621627030763664,1.8489,15500,1.9619140625,30.1957,1987.035,24.838
0.68,0.00039595140765221197,1.8495,16000,1.955078125,30.3122,1979.401,24.743
0.7,0.0003956782365921373,1.843,16500,1.947265625,30.1552,1989.705,24.871
0.72,0.00039539567461561895,1.842,17000,1.9658203125,31.9374,1878.675,23.483
0.75,0.00039510900502332647,1.8999,17500,1.9287109375,30.2776,1981.66,24.771
0.77,0.0003948089182313233,1.8391,18000,1.9560546875,30.3758,1975.254,24.691
0.79,0.0003945000184265428,1.835,18500,1.9345703125,30.2497,1983.489,24.794
0.81,0.0003941823195833858,1.8357,19000,1.9638671875,30.3507,1976.887,24.711
0.83,0.00039385583607431544,1.8288,19500,1.92578125,30.1286,1991.463,24.893
0.85,0.00039352058266920635,1.8274,20000,1.9287109375,30.1543,1989.763,24.872
0.87,0.0003931765745346772,1.8276,20500,1.919921875,30.1153,1992.341,24.904
0.9,0.00039282382723340384,1.8257,21000,1.9384765625,30.2485,1983.569,24.795
0.92,0.000392462356723416,1.823,21500,1.91015625,30.2621,1982.675,24.783
0.94,0.00039209217935737474,1.824,22000,1.962890625,29.9914,2000.576,25.007
0.96,0.00039171331188183304,1.8163,22500,1.9130859375,30.0371,1997.53,24.969
0.98,0.0003913257714364778,1.8177,23000,1.927734375,30.0752,1994.996,24.937
1.0,0.0003909295755533551,1.8127,23500,1.9208984375,30.285,1981.178,24.765
1.02,0.0003905247421560765,1.8061,24000,1.912109375,30.248,1983.602,24.795
1.04,0.0003901112895590083,1.8042,24500,1.888671875,30.2855,1981.147,24.764
1.07,0.00038968923646644324,1.8036,25000,1.8955078125,29.9271,2004.869,25.061
1.09,0.00038925860197175404,1.8034,25500,1.908203125,29.9323,2004.523,25.057
1.11,0.00038881940555652987,1.8015,26000,1.9033203125,30.7947,1948.388,24.355
1.13,0.0003883716670896949,1.8007,26500,1.8837890625,30.1422,1990.567,24.882
1.15,0.00038791540682660936,1.7954,27000,1.888671875,30.1228,1991.847,24.898
1.17,0.0003874506454081535,1.7965,27500,1.8779296875,36.203,1657.321,20.717
1.19,0.0003869793136901585,1.7962,28000,1.8974609375,30.1412,1990.63,24.883
1.22,0.00038650444882697556,2.3033,28500,1.9267578125,30.223,1985.245,24.816
1.24,0.00038601446329867325,1.7944,29000,1.89453125,30.1393,1990.753,24.884
1.26,0.00038551606261229347,1.7954,29500,1.896484375,30.4091,1973.095,24.664
1.28,0.0003850092693151182,1.7899,30000,1.8876953125,30.2008,1986.699,24.834
1.3,0.00038449410633410497,1.787,30500,1.8818359375,30.1291,1991.427,24.893
1.32,0.0003839705969748498,1.7873,31000,1.890625,30.3048,1979.883,24.749
1.34,0.00038343876492053256,1.7889,31500,1.8896484375,30.2808,1981.454,24.768
1.36,0.000382898634230846,1.7874,32000,1.875,30.6028,1960.606,24.508
1.39,0.00038235022934090683,1.7858,32500,1.873046875,30.3148,1979.234,24.74
1.41,0.00038179357506015066,1.786,33000,1.8740234375,30.2407,1984.082,24.801
1.43,0.00038122869657120935,1.7794,33500,1.8701171875,30.1682,1988.846,24.861
1.45,0.0003806556194287721,1.7803,34000,1.8779296875,30.2408,1984.071,24.801
1.47,0.000380074369558429,1.7774,34500,1.873046875,30.2627,1982.638,24.783
1.49,0.0003794849732554985,1.7765,35000,1.8623046875,30.1945,1987.114,24.839
1.51,0.0003788874571838378,1.7737,35500,1.87109375,30.3548,1976.621,24.708
1.53,0.00037828184837463606,1.777,36000,1.857421875,30.2473,1983.65,24.796
1.56,0.0003776681742251925,1.7736,36500,1.85546875,30.4417,1970.981,24.637
1.58,0.0003770477139240001,1.772,37000,1.8720703125,30.1471,1990.241,24.878
1.6,0.000376418008734788,1.7698,37500,1.892578125,30.173,1988.535,24.857
1.62,0.0003757803225240741,1.7673,38000,1.8671875,30.1639,1989.131,24.864
1.64,0.0003751346841403156,1.7691,38500,1.85546875,30.386,1974.593,24.682
1.66,0.00037448112279172,1.7656,39000,1.87890625,30.2498,1983.487,24.794
1.68,0.0003738209988121992,1.7649,39500,1.84375,30.0294,1998.044,24.976
1.71,0.00037315169628777966,1.7654,40000,1.8623046875,30.3598,1976.297,24.704
1.73,0.00037247592257628933,1.7657,40500,1.8486328125,30.4974,1967.383,24.592
1.75,0.0003717909997475975,1.7648,41000,1.85546875,30.3341,1977.971,24.725
1.77,0.0003710983052199016,1.7615,41500,1.84375,30.1117,1992.58,24.907
1.79,0.00037039927890385204,1.7613,42000,1.85546875,30.3159,1979.162,24.74
1.81,0.0003696911507247894,1.7597,42500,1.841796875,30.2708,1982.109,24.776
1.83,0.00036897534584235433,1.7585,43000,1.9130859375,30.7519,1951.099,24.389
1.85,0.0003682533511447785,1.7577,43500,1.857421875,30.3061,1979.796,24.747
1.88,0.00036752230553918137,1.7567,44000,1.857421875,30.1621,1989.252,24.866
1.9,0.00036678516613684,1.7547,44500,1.833984375,31.8966,1881.077,23.513
1.92,0.0003660405116464015,1.7535,45000,1.8525390625,30.0677,1995.498,24.944
1.94,0.00036528686084534947,1.7531,45500,1.83984375,30.2934,1980.632,24.758
1.96,0.00036452573258777336,1.7497,46000,1.8447265625,30.0236,1998.425,24.98
1.98,0.00036375716130655826,1.7518,46500,1.8525390625,30.1738,1988.479,24.856
2.0,0.0003629811817713059,1.7474,47000,1.82421875,30.3932,1974.124,24.677
2.03,0.0003622009771379564,1.7367,47500,1.8134765625,30.4855,1968.149,24.602
2.05,0.00036141031602223334,1.7359,48000,1.822265625,30.3209,1978.833,24.735
2.07,0.0003606123528220347,1.7377,48500,1.814453125,31.1344,1927.129,24.089
2.09,0.00035980712363663144,1.7367,49000,1.8310546875,30.5236,1965.691,24.571
2.11,0.0003589946648940019,1.7378,49500,1.828125,30.2417,1984.014,24.8
2.13,0.00035817665980609874,1.7362,50000,1.8203125,30.1752,1988.389,24.855
2.15,0.0003573498668137511,1.7363,50500,1.822265625,30.1899,1987.417,24.843
2.17,0.00035651595542867624,1.738,51000,1.865234375,30.0718,1995.226,24.94
2.2,0.00035567665240179006,1.734,51500,1.8203125,30.4592,1969.845,24.623
2.22,0.00035483033481968553,1.7357,52000,1.8115234375,30.1834,1987.847,24.848
2.24,0.000353975323829431,1.7322,52500,1.8125,30.1012,1993.277,24.916
2.26,0.00035311334710830223,1.7282,53000,1.8291015625,31.8563,1883.455,23.543
2.28,0.0003522461883452154,1.7292,53500,1.802734375,30.3506,1976.898,24.711
2.3,0.00035137041119670206,1.7299,54000,1.8291015625,30.2299,1984.789,24.81
2.32,0.000350487786161654,1.7304,54500,1.79296875,30.1539,1989.79,24.872
2.34,0.00034959835316938144,1.7285,55000,1.830078125,30.1852,1987.73,24.847
2.37,0.0003487021524571815,1.7299,55500,1.798828125,31.2575,1919.536,23.994
2.39,0.0003478010371109176,1.7263,56000,1.8115234375,30.7227,1952.955,24.412
2.41,0.0003468914362252766,1.724,56500,1.8037109375,30.374,1975.372,24.692
2.43,0.0003459770291754111,1.7257,57000,1.7919921875,30.2793,1981.552,24.769
2.45,0.0003450541923841548,1.7218,57500,1.791015625,30.4604,1969.771,24.622
