epoch,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.04,0.00039880000000000004,3.0076,1000,2.810546875,5.4302,11049.299,69.058,,,,,
0.09,0.0003999820144464244,2.7737,2000,2.712890625,5.3218,11274.375,70.465,,,,,
0.13,0.0003999279166459084,2.7262,3000,2.669921875,5.2227,11488.361,71.802,,,,,
0.17,0.0003998377162949388,2.7041,4000,2.638671875,5.4356,11038.302,68.989,,,,,
0.21,0.00039971142968169975,2.6867,5000,2.626953125,5.215,11505.302,71.908,,,,,
0.26,0.0003995490796107545,2.6742,6000,2.6015625,5.3108,11297.635,70.61,,,,,
0.3,0.0003993506953989275,2.6624,7000,2.59375,5.4104,11089.788,69.311,,,,,
0.34,0.00039911631287001037,2.6506,8000,2.58203125,5.2388,11453.056,71.582,,,,,
0.38,0.00039884597434829274,2.6421,9000,2.580078125,5.3001,11320.592,70.754,,,,,
0.43,0.0003985397286509198,2.6343,10000,2.5625,5.3759,11160.998,69.756,,,,,
0.47,0.0003981976310790768,2.6268,11000,2.544921875,5.2347,11461.884,71.637,,,,,
0.51,0.0003978197434080027,2.6201,12000,2.546875,5.4052,11100.354,69.377,,,,,
0.55,0.00039740613387583527,2.6126,13000,2.533203125,5.3045,11311.235,70.695,,,,,
0.6,0.00039695687717128863,2.6078,14000,2.525390625,5.3028,11314.847,70.718,,,,,
0.64,0.000396472054420166,2.6003,15000,2.515625,5.3127,11293.656,70.585,,,,,
0.68,0.0003959517531707105,2.5954,16000,2.515625,5.2833,11356.619,70.979,,,,,
0.72,0.0003953960673777955,2.5893,17000,2.5078125,5.3605,11192.887,69.956,,,,,
0.77,0.0003948044881820991,2.5844,18000,2.505859375,5.2438,11442.152,71.513,,,,,
0.81,0.0003941783055503164,2.5797,19000,2.501953125,5.3662,11181.156,69.882,,,,,
0.85,0.00039351705862040705,2.5718,20000,2.494140625,5.3747,11163.427,69.771,,,,,
0.9,0.00039282086679891037,2.5702,21000,2.490234375,5.2735,11377.743,71.111,,,,,
0.94,0.00039208985580263853,2.5657,22000,2.48828125,5.3873,11137.313,69.608,,,,,
0.98,0.000391324941398629,2.5613,23000,2.478515625,5.3834,11145.357,69.658,,,,,
1.02,0.0003905239105670377,2.5558,24000,2.48046875,5.2968,11327.63,70.798,,,,,
1.07,0.00038968925910270986,2.5526,25000,2.48046875,5.2861,11350.464,70.94,,,,,
1.11,0.0003888203539625465,2.5476,26000,2.48046875,5.3236,11270.612,70.441,,,,,
1.15,0.00038791735205155717,2.5458,27000,2.4765625,5.2248,11483.752,71.773,,,,,
1.19,0.000386981371216344,2.5435,28000,2.466796875,5.3028,11314.755,70.717,,,,,
1.24,0.0003860097162932984,2.54,29000,2.46484375,5.2164,11502.084,71.888,,,,,
1.28,0.00038500542692276526,2.5361,30000,2.462890625,5.1936,11552.666,72.204,,,,,
1.32,0.00038396772967267377,2.532,31000,2.455078125,5.3171,11284.335,70.527,,,,,
1.36,0.0003828968119281472,2.5307,32000,2.462890625,5.276,11372.244,71.077,,,,,
