epoch,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.04,0.00039840000000000003,3.626,1000,3.5390625,5.3332,11250.249,70.314,,,,,
0.09,0.00039998205050713624,3.4411,2000,3.482421875,4.6609,12873.114,80.457,,,,,
0.13,0.0003999279166459084,3.4072,3000,3.4609375,4.7412,12654.961,79.094,,,,,
0.17,0.0003998377162949388,3.3879,4000,3.45703125,4.576,13111.944,81.95,,,,,
0.21,0.00039971157413078444,3.374,5000,3.4375,4.6099,13015.465,81.347,,,,,
0.26,0.0003995490796107545,3.3628,6000,3.419921875,4.626,12970.226,81.064,,,,,
0.3,0.0003993506953989275,3.3518,7000,3.41796875,4.7519,12626.55,78.916,,,,,
0.34,0.00039911631287001037,3.3409,8000,3.408203125,4.5988,13047.006,81.544,,,,,
0.38,0.00039884597434829274,3.3334,9000,3.396484375,4.6163,12997.453,81.234,,,,,
0.43,0.0003985397286509198,3.3285,10000,3.384765625,4.7171,12719.572,79.497,,,,,
0.47,0.0003981972706973255,3.32,11000,3.375,4.7218,12707.106,79.419,,,,,
0.51,0.0003978193472334365,3.3164,12000,3.373046875,4.7389,12661.06,79.132,,,,,
0.55,0.0003974057019799944,3.3098,13000,3.375,4.7804,12551.364,78.446,,,,,
0.6,0.00039695640963216387,3.3054,14000,3.369140625,4.6522,12897.112,80.607,,,,,
0.64,0.0003964715513221847,3.3002,15000,3.357421875,4.7191,12714.158,79.463,,,,,
0.68,0.0003959512146047209,3.2941,16000,3.34375,4.6514,12899.332,80.621,,,,,
0.72,0.0003953954934410507,3.2884,17000,3.341796875,4.7113,12735.291,79.596,,,,,
0.77,0.0003948044881820991,3.2848,18000,3.337890625,4.7291,12687.313,79.296,,,,,
0.81,0.0003941783055503164,3.2803,19000,3.33984375,4.632,12953.318,80.958,,,,,
0.85,0.00039351705862040705,3.2715,20000,3.31640625,4.762,12599.661,78.748,,,,,
0.9,0.00039282086679891037,3.2692,21000,3.310546875,4.6296,12960.139,81.001,,,,,
0.94,0.00039208985580263853,3.2637,22000,3.2890625,4.6137,13004.885,81.281,,,,,
0.98,0.00039132415763597515,3.2577,23000,3.287109375,4.7208,12709.771,79.436,,,,,
1.02,0.0003905239105670377,3.2537,24000,3.29296875,4.848,12376.312,77.352,,,,,
1.07,0.00038968925910270986,3.2488,25000,3.26953125,4.6735,12838.21,80.239,,,,,
1.11,0.0003888203539625465,3.242,26000,3.275390625,4.6914,12789.409,79.934,,,,,
1.15,0.00038791735205155717,3.2381,27000,3.25390625,4.6068,13024.108,81.401,,,,,
1.19,0.0003869794616135682,3.2339,28000,3.25390625,4.7265,12694.321,79.34,,,,,
1.24,0.0003860087277634814,3.2294,29000,3.251953125,4.7772,12559.591,78.497,,,,,
1.28,0.000385004404859942,3.2259,30000,3.251953125,4.5351,13230.061,82.688,,,,,
1.32,0.0003839666742614061,3.22,31000,3.251953125,4.7058,12750.105,79.688,,,,,
