epoch,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
2.94,0.0001988,2.5719,500,2.267578125,0.6256,5169.249,33.567,,,,,
5.88,0.00039880000000000004,2.1038,1000,1.955078125,0.6118,5286.06,34.325,,,,,
8.82,0.0003990522804412617,1.8254,1500,1.7412109375,0.5698,5676.009,36.857,,,,,
11.76,0.0003961876402938533,1.6589,2000,1.6279296875,0.6096,5304.981,34.448,,,,,
14.71,0.0003914449721677457,1.5514,2500,1.5478515625,0.5539,5838.722,37.914,,,,,
17.65,0.0003848509571602823,1.4788,3000,1.501953125,0.5728,5646.428,36.665,,,,,
20.59,0.0003764952006803837,1.4198,3500,1.4560546875,0.5195,6225.316,40.424,,,,,
23.53,0.0003664247101816793,1.3761,4000,1.4228515625,0.5691,5682.548,36.9,,,,,
26.47,0.00035477633255004166,1.3394,4500,1.39453125,0.6241,5181.692,33.647,,,,,
29.41,0.000341615598724853,1.3052,5000,1.3662109375,0.6134,5271.981,34.234,,,,,
32.35,0.00032712134859876844,1.2774,5500,1.3388671875,0.6187,5227.381,33.944,,,,,
35.29,0.00031137512329763764,1.2496,6000,1.326171875,0.5769,5605.66,36.4,,,,,
38.24,0.00029459089669860015,1.229,6500,1.3056640625,0.6637,4872.436,31.639,,,,,
41.18,0.00027686309277816354,1.204,7000,1.2958984375,0.5643,5730.504,37.211,,,,,
44.12,0.0002584326128866821,1.1864,7500,1.2763671875,0.6126,5278.846,34.278,,,,,
47.06,0.0002394031424212773,1.1678,8000,1.2705078125,0.5313,6086.541,39.523,,,,,
50.0,0.00022003327094849775,1.1493,8500,1.2578125,0.5727,5646.971,36.669,,,,,
52.94,0.00020043196865401783,1.1331,9000,1.24609375,0.5457,5926.837,38.486,,,,,
55.88,0.0001808655956697884,1.119,9500,1.2265625,0.6089,5311.26,34.489,,,,,
58.82,0.00016144422765119323,1.1016,10000,1.2158203125,0.6453,5011.273,32.541,,,,,
61.76,0.0001424317796213456,1.0909,10500,1.208984375,0.5893,5488.214,35.638,,,,,
64.71,0.0001239352109885643,1.0765,11000,1.203125,0.6357,5086.933,33.032,,,,,
67.65,0.00010617118785520646,1.0646,11500,1.1904296875,0.5609,5765.682,37.439,,,,,
70.59,8.934349692658066e-05,1.0546,12000,1.18359375,0.6027,5365.503,34.841,,,,,
73.53,7.354680669894105e-05,1.0438,12500,1.185546875,0.5838,5539.242,35.969,,,,,
76.47,5.8995776812254834e-05,1.035,13000,1.1796875,0.5771,5604.254,36.391,,,,,
79.41,4.577226782149433e-05,1.0259,13500,1.173828125,0.5931,5452.782,35.408,,,,,
82.35,3.4055972664746846e-05,1.021,14000,1.1708984375,0.5728,5645.546,36.659,,,,,
85.29,2.3912804368871712e-05,1.0165,14500,1.16796875,0.6295,5137.481,33.36,,,,,
88.24,1.5480597431041576e-05,1.011,15000,1.1591796875,0.5657,5716.321,37.119,,,,,
91.18,8.80678939656754e-06,1.0067,15500,1.1640625,0.5708,5665.365,36.788,,,,,
94.12,3.9742764970450266e-06,1.0079,16000,1.16015625,0.6024,5368.67,34.861,,,,,
97.06,1.0335818607667414e-06,1.0037,16500,1.1572265625,0.6041,5353.731,34.764,,,,,
100.0,1.2491205067632906e-09,1.0035,17000,1.15625,0.5525,5853.217,38.008,7.192939127740826e+16,1.262049467198989,894.4723,3023.906,19.006
