epoch,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
2.94,0.0001964,3.5822,500,3.052734375,1.1698,2764.604,17.952,,,,,
5.88,0.00039640000000000004,1.9107,1000,2.53515625,1.062,3045.228,19.774,,,,,
8.82,0.0003990712766566525,1.6661,1500,2.263671875,1.0837,2984.18,19.378,,,,,
11.76,0.0003962257003760425,1.5318,2000,2.099609375,1.0786,2998.267,19.469,,,,,
14.71,0.00039149036333293197,1.4401,2500,2.025390625,1.0772,3002.357,19.496,,,,,
17.65,0.00038491086941164465,1.3801,3000,1.95703125,1.0859,2978.156,19.339,,,,,
20.59,0.0003765505827353598,1.3277,3500,1.8916015625,1.0706,3020.767,19.615,,,,,
23.53,0.00036649001743496766,1.2845,4000,1.857421875,1.0846,2981.635,19.361,,,,,
26.47,0.00035482606225397523,1.2447,4500,1.8056640625,1.0885,2971.051,19.293,,,,,
29.41,0.00034167104745694223,1.2111,5000,1.7919921875,1.0891,2969.416,19.282,,,,,
32.35,0.00032715166302762653,1.18,5500,1.740234375,1.0972,2947.555,19.14,,,,,
35.29,0.00031140773857518526,1.1507,6000,1.75390625,1.0625,3043.739,19.765,,,,,
38.24,0.00029459089669860015,1.125,6500,1.7041015625,1.0788,2997.85,19.467,,,,,
41.18,0.00027686309277816354,1.0968,7000,1.67578125,1.0909,2964.631,19.251,,,,,
44.12,0.0002583950552566326,1.0705,7500,1.6455078125,1.0923,2960.646,19.225,,,,,
47.06,0.00023936464143099599,1.0482,8000,1.6416015625,1.166,2773.682,18.011,,,,,
50.0,0.0002199941981544069,1.0241,8500,1.623046875,1.105,2926.589,19.004,,,,,
52.94,0.00020039269882936905,1.0016,9000,1.6240234375,1.0974,2947.08,19.137,,,,,
55.88,0.00018082650626526163,0.9798,9500,1.5869140625,1.0763,3004.639,19.511,,,,,
58.82,0.0001614056951024688,0.9584,10000,1.5830078125,1.0861,2977.758,19.336,,,,,
61.76,0.00014239417279704624,0.9389,10500,1.5849609375,1.0814,2990.489,19.419,,,,,
64.71,0.0001239352109885643,0.9173,11000,1.578125,1.0654,3035.394,19.71,,,,,
67.65,0.00010617118785520646,0.9007,11500,1.5556640625,1.1422,2831.418,18.386,,,,,
70.59,8.931078747484924e-05,0.8842,12000,1.5576171875,1.1253,2873.921,18.662,,,,,
73.53,7.351638471998772e-05,0.8676,12500,1.5615234375,1.0623,3044.302,19.768,,,,,
76.47,5.896792984913777e-05,0.8529,13000,1.5556640625,1.1079,2919.116,18.955,,,,,
79.41,4.574726893085901e-05,0.8393,13500,1.5498046875,1.0886,2970.686,19.29,,,,,
82.35,3.403405620106728e-05,0.8306,14000,1.546875,1.068,3028.211,19.664,,,,,
85.29,2.3912804368871712e-05,0.8214,14500,1.55078125,1.1648,2776.388,18.028,,,,,
88.24,1.546545202597702e-05,0.8138,15000,1.5390625,1.1011,2937.166,19.073,,,,,
91.18,8.80678939656754e-06,0.8081,15500,1.5400390625,1.1036,2930.313,19.028,,,,,
94.12,3.9742764970450266e-06,0.8048,16000,1.5478515625,1.0778,3000.682,19.485,,,,,
97.06,1.0295984734167041e-06,0.8027,16500,1.548828125,1.0851,2980.281,19.352,,,,,
100.0,1.2491205067632906e-09,0.802,17000,1.5498046875,1.0759,3005.894,19.519,3.161050575001354e+17,1.1499491271972657,2466.4326,1096.645,6.893
