epoch,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
2.95,0.0001964,2.8282,500,1.9658203125,3.3695,959.777,12.168,,,,,
5.9,0.00039640000000000004,1.3955,1000,1.7109375,3.3043,978.729,12.408,,,,,
8.85,0.00039905956705854026,1.2378,1500,1.515625,3.3197,974.174,12.35,,,,,
11.8,0.0003961782278701889,1.1055,2000,1.423828125,3.3577,963.172,12.211,,,,,
14.75,0.00039138376494085716,0.9994,2500,1.380859375,3.3276,971.863,12.321,,,,,
17.7,0.0003847229337181547,0.9183,3000,1.3623046875,3.3181,974.652,12.356,,,,,
20.65,0.0003762606904129984,0.8458,3500,1.32421875,3.3658,960.842,12.181,,,,,
23.6,0.00036607955854874155,0.7791,4000,1.296875,3.2602,991.97,12.576,,,,,
26.55,0.0003542788241944398,0.7195,4500,1.318359375,3.2588,992.399,12.581,,,,,
29.5,0.0003409735677303134,0.6662,5000,1.330078125,3.3083,977.54,12.393,,,,,
32.45,0.0003262935415875964,0.6153,5500,1.3955078125,3.3533,964.416,12.227,,,,,
35.4,0.0003103819049070189,0.57,6000,1.4052734375,3.4485,937.792,11.889,,,,,
38.35,0.000293393827455491,0.5278,6500,1.4013671875,3.3887,954.347,12.099,,,,,
41.3,0.0002754949764155486,0.4881,7000,1.431640625,3.3952,952.532,12.076,,,,,
44.25,0.0002568977859389508,0.4554,7500,1.4736328125,3.3206,973.916,12.347,,,,,
47.2,0.00023770913814343035,0.422,8000,1.498046875,3.3881,954.505,12.101,,,,,
50.15,0.0002181527520508658,0.3918,8500,1.5302734375,3.3963,952.224,12.072,,,,,
53.1,0.00019841934090669548,0.3638,9000,1.5771484375,3.3189,974.432,12.354,,,,,
56.05,0.00017870134429894251,0.3371,9500,1.6259765625,3.4419,939.595,11.912,,,,,
59.0,0.00015922973780507492,0.312,10000,1.6201171875,3.3027,979.203,12.414,,,,,
61.95,0.0001401541341075934,0.2877,10500,1.6787109375,3.4042,950.003,12.044,,,,,
64.9,0.00012162345745791268,0.2647,11000,1.7060546875,3.3672,960.45,12.176,,,,,
67.85,0.00010385710631927916,0.2446,11500,1.7421875,3.4047,949.863,12.042,,,,,
70.8,8.706094863788343e-05,0.2244,12000,1.7724609375,3.3881,954.525,12.101,,,,,
73.75,7.133151560240227e-05,0.2066,12500,1.8330078125,3.3325,970.432,12.303,,,,,
76.7,5.6856853470346214e-05,0.1903,13000,1.84375,3.3356,969.554,12.292,,,,,
79.65,4.3778118679247284e-05,0.1764,13500,1.8740234375,3.3182,974.614,12.356,,,,,
82.6,3.2244367245051e-05,0.1652,14000,1.892578125,3.4208,945.39,11.985,,,,,
85.55,2.232188615773252e-05,0.1552,14500,1.9130859375,3.3409,968.013,12.272,,,,,
88.5,1.4146710609508317e-05,0.148,15000,1.935546875,3.3559,963.671,12.217,,,,,
91.45,7.765825120783765e-06,0.1422,15500,1.9375,3.3302,971.116,12.312,,,,,
94.4,3.259601095677689e-06,0.1394,16000,1.927734375,3.3107,976.836,12.384,,,,,
97.35,6.71983085316863e-07,0.1373,16500,1.9423828125,3.3635,961.485,12.19,,,,,
99.71,,,16900,,,,,5.126244042748723e+18,0.5494523816983375,14297.776,189.176,1.182
