epoch,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
2.94,0.0001988,2.6819,500,2.076171875,1.1967,2702.36,17.548,,,,,
5.88,0.00039880000000000004,1.8758,1000,1.7822265625,1.0918,2962.074,19.234,,,,,
8.82,0.00039904845817532363,1.6473,1500,1.634765625,1.1561,2797.421,18.165,,,,,
11.76,0.00039618000558529025,1.5194,2000,1.552734375,1.0701,3022.262,19.625,,,,,
14.71,0.0003914336059233417,1.4296,2500,1.5,1.1031,2931.785,19.038,,,,,
17.65,0.00038483596127953436,1.3682,3000,1.46484375,1.1315,2858.213,18.56,,,,,
20.59,0.0003764767263855533,1.3159,3500,1.4248046875,1.07,3022.485,19.627,,,,,
23.53,0.00036640292826373963,1.2732,4000,1.404296875,1.1188,2890.648,18.77,,,,,
26.47,0.00035475145874692455,1.2343,4500,1.3828125,1.1275,2868.396,18.626,,,,,
29.41,0.00034158786616868443,1.2008,5000,1.37109375,1.1212,2884.521,18.731,,,,,
32.35,0.00032709102926898296,1.1703,5500,1.3544921875,1.1862,2726.326,17.703,,,,,
35.29,0.000311342503726229,1.1403,6000,1.3359375,1.1452,2823.87,18.337,,,,,
38.24,0.000294556294675315,1.1149,6500,1.326171875,1.1161,2897.68,18.816,,,,,
41.18,0.0002768268372455405,1.0868,7000,1.3193359375,1.1437,2827.686,18.362,,,,,
44.12,0.0002583950552566326,1.0617,7500,1.30859375,1.0955,2952.075,19.169,,,,,
47.06,0.00023936464143099599,1.0394,8000,1.30078125,1.1172,2894.827,18.798,,,,,
50.0,0.0002199941981544069,1.0153,8500,1.2958984375,1.1957,2704.598,17.562,,,,,
52.94,0.00020039269882936905,0.9924,9000,1.2880859375,1.176,2750.058,17.858,,,,,
55.88,0.00018082650626526163,0.9708,9500,1.2802734375,1.1305,2860.728,18.576,,,,,
58.82,0.0001614056951024688,0.9488,10000,1.27734375,1.1029,2932.15,19.04,,,,,
61.76,0.00014239417279704624,0.9293,10500,1.2822265625,1.0915,2962.78,19.239,,,,,
64.71,0.0001239352109885643,0.908,11000,1.2802734375,1.1407,2834.988,18.409,,,,,
67.65,0.00010617118785520646,0.8912,11500,1.2802734375,1.1689,2766.78,17.966,,,,,
70.59,8.931078747484924e-05,0.8746,12000,1.2802734375,1.0784,2998.885,19.473,,,,,
73.53,7.351638471998772e-05,0.8578,12500,1.28125,1.1543,2801.585,18.192,,,,,
76.47,5.896792984913777e-05,0.8434,13000,1.2861328125,1.2197,2651.542,17.218,,,,,
79.41,4.574726893085901e-05,0.8298,13500,1.28125,1.1701,2763.947,17.948,,,,,
82.35,3.403405620106728e-05,0.8204,14000,1.2822265625,1.1368,2844.819,18.473,,,,,
85.29,2.3894187345637598e-05,0.8107,14500,1.2880859375,1.1434,2828.313,18.366,,,,,
88.24,1.546545202597702e-05,0.8031,15000,1.28515625,1.145,2824.521,18.341,,,,,
91.18,8.79526825691741e-06,0.798,15500,1.2841796875,1.1029,2932.316,19.041,,,,,
94.12,3.966490577682191e-06,0.7941,16000,1.29296875,1.0758,3006.073,19.52,,,,,
97.06,1.0256227570008215e-06,0.7923,16500,1.2880859375,1.1202,2886.977,18.747,,,,,
100.0,1.114184774841931e-09,0.7917,17000,1.291015625,1.1714,2760.91,17.928,3.161050575001354e+17,1.1126938350901885,2436.1176,1110.291,6.978
