epoch,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
2.95,0.0001984,2.0413,500,1.5234375,3.3989,951.491,12.063,,,,,
5.9,0.000398,1.3915,1000,1.400390625,3.3193,974.307,12.352,,,,,
8.85,0.00039904419417380023,1.2308,1500,1.29296875,3.2757,987.271,12.516,,,,,
11.8,0.0003961474133948304,1.0922,2000,1.224609375,3.2933,981.991,12.449,,,,,
14.75,0.0003913378093766485,0.9906,2500,1.1982421875,3.3187,974.475,12.354,,,,,
17.7,0.00038467745816144036,0.912,3000,1.18359375,3.2838,984.843,12.486,,,,,
20.65,0.00037620463824313347,0.8367,3500,1.1787109375,3.398,951.732,12.066,,,,,
23.6,0.0003660134763846757,0.7715,4000,1.1806640625,3.3721,959.057,12.159,,,,,
26.55,0.00035420335646730244,0.7115,4500,1.1953125,3.3118,976.507,12.38,,,,,
29.5,0.00034088945039894165,0.6574,5000,1.2119140625,3.2985,980.439,12.43,,,,,
32.45,0.00032620159496148863,0.6068,5500,1.232421875,3.4613,934.336,11.845,,,,,
35.4,0.00031028302564670265,0.5613,6000,1.255859375,3.345,966.82,12.257,,,,,
38.35,0.00029328897982831874,0.52,6500,1.283203125,3.4121,947.816,12.016,,,,,
41.3,0.0002754217836782255,0.481,7000,1.3173828125,3.2626,991.232,12.567,,,,,
44.25,0.0002567841238772344,0.4479,7500,1.353515625,3.4027,950.419,12.049,,,,,
47.2,0.00023763151894044086,0.4155,8000,1.3759765625,3.3432,967.335,12.264,,,,,
50.15,0.00021807404307385558,0.3855,8500,1.4208984375,3.3637,961.446,12.189,,,,,
53.1,0.00019837982528325514,0.3574,9000,1.4755859375,3.2237,1003.208,12.718,,,,,
56.05,0.00017866205254208026,0.33,9500,1.4853515625,3.4888,926.966,11.752,,,,,
59.0,0.0001591910514935688,0.3052,10000,1.5078125,3.2825,985.216,12.49,,,,,
61.95,0.00014007872623576502,0.2813,10500,1.5546875,3.4074,949.116,12.033,,,,,
64.9,0.00012158710285037848,0.2583,11000,1.5927734375,3.3164,975.149,12.363,,,,,
67.85,0.00010382245673799898,0.2377,11500,1.63671875,3.3815,956.382,12.125,,,,,
70.8,8.702833757408463e-05,0.2178,12000,1.673828125,3.3588,962.852,12.207,,,,,
73.75,7.130126483150703e-05,0.1996,12500,1.70703125,3.2866,983.998,12.475,,,,,
76.7,5.6856853470346214e-05,0.1835,13000,1.7412109375,3.2823,985.289,12.491,,,,,
79.65,4.3802795843930455e-05,0.1699,13500,1.771484375,3.266,990.195,12.553,,,,,
82.6,3.2244367245051e-05,0.158,14000,1.787109375,3.2133,1006.437,12.759,,,,,
85.55,2.232188615773252e-05,0.1483,14500,1.81640625,3.3566,963.472,12.215,,,,,
88.5,1.4132116297009413e-05,0.141,15000,1.8271484375,3.2749,987.514,12.519,,,,,
91.45,7.765825120783765e-06,0.1351,15500,1.8388671875,3.2576,992.741,12.586,,,,,
94.4,3.259601095677689e-06,0.1322,16000,1.830078125,3.2815,985.527,12.494,,,,,
97.35,6.752236341214913e-07,0.1298,16500,1.8466796875,3.2938,981.845,12.448,,,,,
99.71,,,16900,,,,,5.126244042748723e+18,0.5190224504188673,14252.3106,189.78,1.186
