epoch,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.04,0.00039840000000000003,2.1951,1000,2.001953125,6.5693,9133.448,57.084,,,,,
0.09,0.00039998205050713624,2.0098,2000,1.966796875,6.5362,9179.69,57.373,,,,,
0.13,0.00039992798885129144,1.9808,3000,1.931640625,6.4826,9255.496,57.847,,,,,
0.17,0.0003998377162949388,1.9633,4000,1.91796875,6.6376,9039.395,56.496,,,,,
0.21,0.00039971142968169975,1.9467,5000,1.9052734375,6.5589,9147.808,57.174,,,,,
0.26,0.0003995490796107545,1.9352,6000,1.900390625,6.534,9182.757,57.392,,,,,
0.3,0.0003993506953989275,1.925,7000,1.8828125,6.5702,9132.092,57.076,,,,,
0.34,0.0003991160602312546,1.915,8000,1.8818359375,6.5637,9141.18,57.132,,,,,
0.38,0.00039884568574092714,1.9052,9000,1.8740234375,6.5048,9224.016,57.65,,,,,
0.43,0.0003985397286509198,1.8995,10000,1.86328125,6.7589,8877.186,55.482,,,,,
0.47,0.0003981972706973255,1.8914,11000,1.85546875,6.6257,9055.694,56.598,,,,,
0.51,0.0003978189510230763,1.8852,12000,1.8623046875,6.4762,9264.65,57.904,,,,,
0.55,0.0003974052700484345,1.8776,13000,1.849609375,6.5733,9127.791,57.049,,,,,
0.6,0.0003969554744470013,1.8724,14000,1.853515625,6.5161,9208.0,57.55,,,,,
0.64,0.0003964710481886534,1.8665,15000,1.833984375,6.5911,9103.245,56.895,,,,,
0.68,0.00039595013736637425,1.8603,16000,1.85546875,6.5087,9218.494,57.616,,,,,
0.72,0.0003953943454614953,1.8549,17000,1.84765625,6.5738,9127.155,57.045,,,,,
0.77,0.00039480326966863464,1.8499,18000,1.8349609375,6.7739,8857.488,55.359,,,,,
0.81,0.0003941770167229794,1.8462,19000,1.8310546875,6.7627,8872.211,55.451,,,,,
0.85,0.0003935150202051704,1.8396,20000,1.8310546875,6.659,9010.4,56.315,,,,,
0.9,0.00039281872363023746,1.8352,21000,1.822265625,6.701,8953.879,55.962,,,,,
0.94,0.00039208760826753823,1.8324,22000,1.8076171875,6.4689,9275.194,57.97,,,,,
0.98,0.0003913218061403024,1.8274,23000,1.810546875,6.5638,9141.086,57.132,,,,,
1.02,0.0003905214555354205,1.8219,24000,1.80859375,6.7089,8943.303,55.896,,,,,
1.07,0.00038968584820174855,1.8176,25000,1.830078125,6.5909,9103.491,56.897,,,,,
1.11,0.00038881680622099356,1.8146,26000,1.8212890625,6.5761,9123.884,57.024,,,,,
1.15,0.0003879127470396765,1.8112,27000,1.806640625,6.6348,9043.225,56.52,,,,,
1.19,0.00038697564200202805,1.8079,28000,1.810546875,6.6377,9039.246,56.495,,,,,
1.24,0.00038600477330764666,1.8047,29000,1.8046875,6.6235,9058.627,56.616,,,,,
1.28,0.00038500031627389974,1.8026,30000,1.8046875,6.6822,8979.111,56.119,,,,,
1.32,0.0003839613967057619,1.7968,31000,1.8037109375,6.5595,9147.079,57.169,,,,,
1.36,0.00038289028001697954,1.798,32000,1.7939453125,6.5378,9177.399,57.359,,,,,
1.41,0.000381785015669512,1.7938,33000,1.7900390625,6.5468,9164.773,57.28,,,,,
1.45,0.0003806480137450663,1.7893,34000,1.7861328125,6.6558,9014.76,56.342,,,,,
1.49,0.0003794783907933024,1.7881,35000,1.7978515625,6.6491,9023.827,56.399,,,,,
1.53,0.00037827513862087424,1.7855,36000,1.78515625,8.9894,6674.495,41.716,,,,,
1.58,0.0003770408809766218,1.7817,37000,1.7880859375,6.916,8675.59,54.222,,,,,
1.62,0.0003757746536732791,1.7777,38000,1.779296875,6.6362,9041.321,56.508,,,,,
1.66,0.00037447668536343175,1.7752,39000,1.783203125,6.5429,9170.185,57.314,,,,,
1.71,0.00037314721043138786,1.7747,40000,1.7822265625,6.6306,9048.97,56.556,,,,,
1.75,0.0003717864689508531,1.773,41000,1.76953125,6.7811,8848.177,55.301,,,,,
1.79,0.0003703932980281505,1.7709,42000,1.7705078125,6.6966,8959.721,55.998,,,,,
1.83,0.0003689707355390272,1.7667,43000,1.7783203125,6.6873,8972.245,56.077,,,,,
1.88,0.00036751766068020926,1.7637,44000,1.7724609375,6.6318,9047.331,56.546,,,,,
1.92,0.00036603433584480964,1.7611,45000,1.78125,6.7816,8847.52,55.297,,,,,
1.96,0.00036452102888841643,1.7588,46000,1.771484375,6.7259,8920.69,55.754,,,,,
2.0,0.00036297801308072435,1.7576,47000,1.7919921875,6.6122,9074.092,56.713,,,,,
2.05,0.0003614055670561882,1.7514,48000,1.7724609375,6.6844,8976.092,56.101,,,,,
2.09,0.00035980235706210443,1.7506,49000,1.76953125,6.7048,8948.833,55.93,,,,,
2.13,0.00035817187897444863,1.7498,50000,1.765625,6.5613,9144.562,57.154,,,,,
2.17,0.000356512838551243,1.7473,51000,1.7685546875,6.3855,9396.279,58.727,,,,,
2.22,0.0003548255353784162,1.7459,52000,1.7587890625,6.5851,9111.449,56.947,,,,,
2.26,0.00035311027414552324,1.7408,53000,1.7607421875,6.591,9103.267,56.895,,,,,
2.3,0.0003513673645907249,1.7398,54000,1.7587890625,6.6566,9013.636,56.335,,,,,
2.34,0.00034959712144485606,1.7402,55000,1.7666015625,6.5924,9101.431,56.884,,,,,
2.39,0.0003477998643745925,1.7384,56000,1.7568359375,6.5353,9180.952,57.381,,,,,
2.43,0.00034597407889074824,1.7351,57000,1.75390625,6.5215,9200.392,57.502,,,,,
2.47,0.0003441237462057865,1.7308,58000,1.7568359375,6.7002,8955.005,55.969,,,,,
2.52,0.00034224738796668385,1.7319,59000,1.7431640625,6.5801,9118.359,56.99,,,,,
2.56,0.0003403453430021498,1.7305,60000,1.7578125,6.5475,9163.767,57.274,,,,,
2.6,0.0003384179547793471,1.7264,61000,1.73828125,6.6601,9008.932,56.306,,,,,
2.64,0.0003364636045988938,1.7242,62000,1.73828125,6.5683,9134.789,57.092,,,,,
