epoch,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0.04,0.00039880000000000004,2.963,1000,2.76171875,12.887,4655.858,29.099
0.09,0.00039998205050713624,2.7172,2000,2.68359375,12.653,4741.955,29.637
0.13,0.000399928061020499,2.6258,3000,2.603515625,12.6729,4734.521,29.591
0.17,0.0003998379329328107,2.5806,4000,2.59765625,12.6624,4738.42,29.615
0.21,0.0003997117185437329,2.556,5000,2.58203125,12.6625,4738.415,29.615
0.26,0.0003995492601458241,2.5393,6000,2.5546875,12.6229,4753.267,29.708
0.3,0.0003993509119873815,2.5259,7000,2.556640625,12.6557,4740.959,29.631
0.34,0.00039911631287001037,2.5126,8000,2.552734375,12.7337,4711.911,29.449
0.38,0.00039884597434829274,2.5023,9000,2.529296875,12.5492,4781.165,29.882
0.43,0.0003985397286509198,2.4968,10000,2.509765625,12.6222,4753.548,29.71
0.47,0.0003981972706973255,2.4869,11000,2.5078125,12.6982,4725.066,29.532
0.51,0.0003978193472334365,2.4809,12000,2.50390625,12.5607,4776.795,29.855
0.55,0.0003974057019799944,2.4733,13000,2.521484375,12.6246,4752.636,29.704
0.6,0.00039695594205740143,2.4696,14000,2.5078125,13.8816,4322.274,27.014
0.64,0.0003964710481886534,2.4624,15000,2.494140625,13.027,4605.836,28.786
0.68,0.00039595013736637425,2.4573,16000,2.48046875,12.7155,4718.653,29.492
0.72,0.0003953943454614953,2.4482,17000,2.49609375,12.6634,4738.076,29.613
0.77,0.00039480326966863464,2.4461,18000,2.490234375,12.7016,4723.8,29.524
0.81,0.0003941763722566086,2.4418,19000,2.4921875,12.6721,4734.8,29.593
0.85,0.0003935150202051704,2.4334,20000,2.47265625,12.6993,4724.66,29.529
0.9,0.00039281943805468436,2.4325,21000,2.47265625,12.7785,4695.373,29.346
0.94,0.00039208760826753823,2.4298,22000,2.45703125,12.563,4775.947,29.85
0.98,0.00039132102223917483,2.4213,23000,2.455078125,12.6743,4733.977,29.587
1.02,0.00039052063712260115,2.4167,24000,2.4765625,12.7501,4705.83,29.411
1.07,0.00038968584820174855,2.4109,25000,2.447265625,12.6738,4734.19,29.589
1.11,0.0003888159192001925,2.4091,26000,2.447265625,12.6488,4743.546,29.647
1.15,0.000387914589146434,2.4066,27000,2.439453125,13.023,4607.241,28.795
1.19,0.0003869765969556612,2.4018,28000,2.4375,12.6523,4742.213,29.639
1.24,0.00038600576197209,2.3999,29000,2.447265625,12.637,4747.955,29.675
1.28,0.00038500031627389974,2.3968,30000,2.43359375,12.6333,4749.34,29.683
1.32,0.0003839624522834643,2.3926,31000,2.439453125,12.5658,4774.857,29.843
1.36,0.00038289028001697954,2.3911,32000,2.42578125,12.6705,4735.412,29.596
1.41,0.00038178725909217287,2.389,33000,2.435546875,12.9587,4630.103,28.938
1.45,0.0003806503226829952,2.3849,34000,2.421875,12.6453,4744.836,29.655
1.49,0.00037947957782766707,2.3813,35000,2.427734375,12.7206,4716.768,29.48
1.53,0.00037827757739127064,2.3788,36000,2.416015625,12.7422,4708.769,29.43
1.58,0.0003770433839758221,2.3758,37000,2.41796875,12.6076,4759.052,29.744
1.62,0.00037577593707719065,2.3731,38000,2.41015625,12.7092,4720.975,29.506
1.66,0.0003744780004238834,2.3703,39000,2.42578125,12.8029,4686.444,29.29
1.71,0.00037314721043138786,2.3686,40000,2.408203125,13.0014,4614.876,28.843
1.75,0.0003717864689508531,2.3673,41000,2.41015625,12.6347,4748.808,29.68
1.79,0.0003703932980281505,2.3665,42000,2.404296875,12.7926,4690.198,29.314
1.83,0.00036897361408037854,2.3612,43000,2.4140625,12.6735,4734.277,29.589
1.88,0.0003675191303788036,2.3587,44000,2.390625,12.6902,4728.044,29.55
1.92,0.00036603433584480964,2.3559,45000,2.40234375,12.7982,4688.167,29.301
1.96,0.00036452102888841643,2.3534,46000,2.380859375,12.704,4722.929,29.518
2.0,0.0003629764537288427,2.3518,47000,2.400390625,12.6586,4739.862,29.624
2.05,0.0003614039783860065,2.3447,48000,2.396484375,12.7633,4700.965,29.381
2.09,0.00035980235706210443,2.3429,49000,2.3828125,12.9087,4648.029,29.05
2.13,0.00035818504970029283,2.6525,50000,3.873046875,12.7398,4709.644,29.435
2.17,0.0003565245621367631,3.1391,51000,2.421875,12.7152,4718.768,29.492
2.22,0.00035483575309280525,2.3692,52000,2.41015625,12.6387,4747.31,29.671
2.26,0.0003531189281407308,2.3502,53000,2.3828125,12.7572,4703.229,29.395
2.3,0.0003513743979220367,2.3443,54000,2.396484375,12.7395,4709.744,29.436
2.34,0.00034960247809119767,2.3423,55000,2.3828125,12.7091,4721.043,29.507
2.39,0.00034780348925855196,2.3388,56000,2.3671875,12.7633,4700.968,29.381
2.43,0.0003459777569322902,2.3349,57000,2.369140625,12.663,4738.227,29.614
2.47,0.00034412561145955815,2.3306,58000,2.38671875,12.6065,4759.454,29.747
2.52,0.000342249279103426,2.3306,59000,2.37109375,12.7387,4710.064,29.438
2.56,0.0003403472596803651,2.3281,60000,2.369140625,12.7308,4712.977,29.456
2.6,0.0003384198966529259,2.3238,61000,2.36328125,12.7506,4705.675,29.41
2.64,0.0003364675380601524,2.3213,62000,2.36328125,12.8709,4661.663,29.135
2.69,0.0003344885452468917,2.3204,63000,2.353515625,12.7708,4698.226,29.364
2.73,0.0003324872335015075,2.3189,64000,2.353515625,12.7066,4721.974,29.512
2.77,0.0003304619974982597,2.3159,65000,2.3671875,12.7148,4718.906,29.493
2.81,0.0003284111404249016,2.3153,66000,2.369140625,12.6448,4745.047,29.657
2.86,0.0003263370487003766,2.3123,67000,2.357421875,12.6079,4758.917,29.743
2.9,0.0003242443140741835,2.3099,68000,2.359375,12.9587,4630.105,28.938
2.94,0.00032212492761753353,2.3075,69000,2.341796875,12.7912,4690.731,29.317
