epoch,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.04,0.00039880000000000004,3.5097,1000,3.314453125,5.4954,10918.245,68.239,,,,,
0.09,0.00039998205050713624,3.2357,2000,3.203125,4.5653,13142.606,82.141,,,,,
0.13,0.0003999279166459084,3.1762,3000,3.158203125,4.5197,13275.357,82.971,,,,,
0.17,0.0003998377162949388,3.1527,4000,3.138671875,4.5203,13273.589,82.96,,,,,
0.21,0.00039971142968169975,3.136,5000,3.115234375,4.4814,13388.673,83.679,,,,,
0.26,0.0003995490796107545,3.1246,6000,3.083984375,4.6051,13029.118,81.432,,,,,
0.3,0.0003993506953989275,3.114,7000,3.078125,4.5826,13093.107,81.832,,,,,
0.34,0.00039911631287001037,3.1026,8000,3.06640625,4.7148,12725.916,79.537,,,,,
0.38,0.00039884597434829274,3.0942,9000,3.046875,4.5094,13305.54,83.16,,,,,
0.43,0.0003985397286509198,3.0882,10000,3.029296875,4.5845,13087.491,81.797,,,,,
0.47,0.0003981976310790768,3.08,11000,3.02734375,4.635,12944.898,80.906,,,,,
0.51,0.0003978197434080027,3.0751,12000,3.01953125,4.5639,13146.713,82.167,,,,,
0.55,0.00039740613387583527,3.0692,13000,3.03125,4.5987,13047.154,81.545,,,,,
0.6,0.00039695687717128863,3.0639,14000,3.0,4.613,13006.818,81.293,,,,,
0.64,0.000396472054420166,3.0582,15000,3.009765625,4.5421,13209.647,82.56,,,,,
0.68,0.0003959512146047209,3.053,16000,2.9921875,4.5669,13138.02,82.113,,,,,
0.72,0.0003953954934410507,3.0467,17000,2.994140625,4.5569,13166.977,82.294,,,,,
0.77,0.000394803878942991,3.0426,18000,2.994140625,4.6565,12885.203,80.533,,,,,
0.81,0.0003941776611542154,3.0393,19000,2.994140625,4.607,13023.679,81.398,,,,,
0.85,0.00039351705862040705,3.0306,20000,2.974609375,4.4761,13404.54,83.778,,,,,
0.9,0.00039282086679891037,3.0289,21000,2.962890625,4.5777,13107.117,81.919,,,,,
0.94,0.00039208985580263853,3.0243,22000,2.953125,4.549,13189.837,82.436,,,,,
0.98,0.0003913233738387026,3.0199,23000,2.955078125,4.5279,13251.257,82.82,,,,,
1.02,0.0003905230922576389,3.016,24000,2.970703125,4.4985,13337.923,83.362,,,,,
1.07,0.0003896875537208742,3.0122,25000,2.953125,5.2606,11405.518,71.284,,,,,
1.11,0.00038881858016010055,3.0077,26000,2.943359375,4.5286,13249.158,82.807,,,,,
1.15,0.0003879155101488103,3.0046,27000,2.939453125,4.6163,12997.447,81.234,,,,,
1.19,0.0003869794616135682,3.0021,28000,2.9453125,4.6107,13013.067,81.332,,,,,
1.24,0.0003860087277634814,2.9995,29000,2.9453125,4.6082,13020.182,81.376,,,,,
1.28,0.000385004404859942,2.9971,30000,2.939453125,4.5343,13232.487,82.703,,,,,
1.32,0.0003839666742614061,2.992,31000,2.94140625,4.5907,13069.843,81.687,,,,,
1.36,0.0003828957233590191,2.9897,32000,2.923828125,4.6104,13014.062,81.338,,,,,
1.41,0.0003817917455427769,2.9857,33000,2.927734375,4.46,13453.055,84.082,,,,,
1.45,0.0003806537858447334,2.9835,34000,2.923828125,4.6065,13025.08,81.407,,,,,
1.49,0.00037948432564036935,2.9807,35000,2.931640625,4.5445,13202.839,82.518,,,,,
1.53,0.0003782824545449663,2.9781,36000,2.923828125,4.6539,12892.452,80.578,,,,,
1.58,0.0003770483895898053,2.9751,37000,2.921875,4.5618,13152.673,82.204,,,,,
1.62,0.0003757823536196648,2.9708,38000,2.912109375,4.5265,13255.361,82.846,,,,,
1.66,0.0003744832603499831,2.969,39000,2.921875,4.627,12967.239,81.045,,,,,
1.71,0.0003731539425156908,2.9677,40000,2.908203125,4.5853,13085.166,81.782,,,,,
1.75,0.00037179335691724243,2.9649,41000,2.90234375,4.6079,13021.247,81.383,,,,,
1.79,0.0003704003407869727,2.9646,42000,2.8984375,4.4684,13427.561,83.922,,,,,
1.83,0.0003689779316630965,2.9604,43000,2.90234375,4.4854,13376.627,83.604,,,,,
1.88,0.00036752500887006517,2.9563,44000,2.896484375,4.6654,12860.611,80.379,,,,,
1.92,0.0003660418347735319,2.955,45000,2.91015625,4.5134,13293.853,83.087,,,,,
1.96,0.00036452714759871435,2.9526,46000,2.888671875,4.6066,13024.917,81.406,,,,,
2.0,0.000362984250193352,2.9504,47000,2.904296875,4.5671,13137.478,82.109,,,,,
2.05,0.00036141192144486134,2.9466,48000,2.89453125,4.5584,13162.464,82.265,,,,,
2.09,0.00035981044528096446,2.9449,49000,2.8984375,4.5393,13218.014,82.613,,,,,
2.13,0.00035818011089276073,2.9448,50000,2.88671875,4.6009,13040.926,81.506,,,,,
2.17,0.00035652121268250523,2.9425,51000,2.884765625,4.6279,12964.751,81.03,,,,,
2.22,0.0003548340502104461,2.941,52000,2.896484375,4.5608,13155.475,82.222,,,,,
2.26,0.0003531189281407308,2.9362,53000,2.876953125,4.5347,13231.237,82.695,,,,,
