epoch,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0.04,0.00039640000000000004,2.9341,1000,2.693359375,16.3934,3660.003,22.875
0.09,0.00039998223026791715,2.1923,2000,2.57421875,16.243,3693.903,23.087
0.13,0.0003999282773110691,2.1537,3000,2.525390625,15.9889,3752.598,23.454
0.17,0.00039983814942604604,2.1066,4000,2.4765625,16.2432,3693.849,23.087
0.21,0.0003997118629205451,2.0789,5000,2.4609375,16.2486,3692.637,23.079
0.26,0.0003995494406447869,2.0632,6000,2.41015625,16.3327,3673.608,22.96
0.3,0.0003993509119873815,2.0479,7000,2.390625,16.2557,3691.012,23.069
0.34,0.0003991168180394361,2.0366,8000,2.361328125,16.2402,3694.534,23.091
0.38,0.0003988465514550849,2.0271,9000,2.408203125,16.3627,3666.869,22.918
0.43,0.00039854005313885493,2.0202,10000,2.357421875,16.1134,3723.615,23.273
0.47,0.00039819835173499226,2.013,11000,2.330078125,16.3481,3670.155,22.938
0.51,0.000397820139546775,2.0084,12000,2.3203125,16.2048,3702.617,23.141
0.55,0.0003974065657359571,1.9985,13000,2.318359375,16.1844,3707.284,23.171
0.6,0.0003969573446747755,1.9931,14000,2.3125,16.4268,3652.558,22.828
0.64,0.000396472054420166,1.9879,15000,2.263671875,16.1865,3706.783,23.167
0.68,0.0003959517531707105,1.9825,16000,2.302734375,16.3307,3674.067,22.963
0.72,0.0003953954934410507,1.9774,17000,2.30859375,16.1084,3724.76,23.28
0.77,0.000394803878942991,1.972,18000,2.283203125,16.3167,3677.222,22.983
0.81,0.0003941776611542154,1.9691,19000,2.2890625,16.2499,3692.321,23.077
0.85,0.00039351705862040705,1.9622,20000,2.271484375,16.3096,3678.823,22.993
0.9,0.000392820152444242,1.9599,21000,2.24609375,16.229,3697.076,23.107
0.94,0.00039208835748066195,1.9561,22000,2.240234375,16.1193,3722.245,23.264
0.98,0.0003913225900068117,1.9514,23000,2.244140625,16.3737,3664.413,22.903
1.02,0.0003905214555354205,1.9456,24000,2.24609375,16.1478,3715.671,23.223
1.07,0.0003896875537208742,1.9414,25000,2.2265625,16.2938,3682.371,23.015
1.11,0.00038881858016010055,1.9375,26000,2.234375,16.3323,3673.692,22.961
1.15,0.0003879155101488103,1.9353,27000,2.216796875,16.2219,3698.697,23.117
1.19,0.00038697850676143144,1.9325,28000,2.22265625,16.2523,3691.789,23.074
1.24,0.000386006750602877,1.9285,29000,2.208984375,16.4275,3652.402,22.828
1.28,0.0003850013384706223,1.9252,30000,2.203125,16.1898,3706.028,23.163
1.32,0.00038396456333900916,1.9234,31000,2.197265625,16.1518,3714.751,23.217
1.36,0.00038289245745307446,1.9218,32000,2.201171875,16.2464,3693.117,23.082
1.41,0.00038178838075416386,1.9204,33000,2.18359375,16.1435,3716.671,23.229
1.45,0.000380652631490175,1.9162,34000,2.185546875,16.3972,3659.158,22.87
1.49,0.0003794831387359077,1.9131,35000,2.19140625,16.2461,3693.196,23.082
1.53,0.0003782800160326352,1.9112,36000,2.166015625,16.1711,3710.332,23.19
1.58,0.00037704463542737043,1.9062,37000,2.171875,16.0776,3731.894,23.324
1.62,0.0003757785037895979,1.9055,38000,2.177734375,16.3356,3672.949,22.956
1.66,0.00037448063045007507,1.9021,39000,2.169921875,16.1866,3706.772,23.167
1.71,0.0003731512497759605,1.9015,40000,2.173828125,16.3621,3667.004,22.919
1.75,0.0003717892242306608,1.9003,41000,2.1484375,16.1757,3709.263,23.183
1.79,0.0003703975237759399,1.8982,42000,2.15234375,16.1681,3711.004,23.194
1.83,0.0003689764924994321,1.8948,43000,2.17578125,16.0642,3735.019,23.344
1.88,0.0003675235392927176,1.8933,44000,2.134765625,16.3319,3673.795,22.961
1.92,0.00036603883529217306,1.8903,45000,2.15234375,16.3832,3662.298,22.889
1.96,0.000364525617965794,1.8877,46000,2.146484375,16.5444,3626.594,22.666
2.0,0.0003629826909594305,1.8867,47000,2.15234375,16.3615,3667.151,22.92
2.05,0.00036141192144486134,1.8767,48000,2.140625,16.4103,3656.23,22.851
2.09,0.0003598088276950242,1.8779,49000,2.14453125,16.2678,3688.269,23.052
2.13,0.00035817681821129823,1.8764,50000,2.126953125,16.3229,3675.821,22.974
2.17,0.00035651786311496214,1.8764,51000,2.099609375,16.3934,3660.01,22.875
2.22,0.00035483064436168005,1.8744,52000,2.111328125,16.141,3717.238,23.233
2.26,0.00035311373582672085,1.8698,53000,2.10546875,16.3764,3663.814,22.899
2.3,0.000351372639630293,1.8679,54000,2.14453125,16.1057,3725.378,23.284
2.34,0.0003496006925694861,1.8693,55000,2.12890625,16.4443,3648.682,22.804
2.39,0.000347801676829944,1.868,56000,2.1171875,16.2922,3682.741,23.017
2.43,0.000345979595913441,1.8637,57000,2.109375,16.2417,3694.197,23.089
2.47,0.0003441293418888657,1.86,58000,2.126953125,16.2415,3694.241,23.089
2.52,0.0003422511702144292,1.8616,59000,2.13671875,16.1867,3706.753,23.167
2.56,0.0003403472596803651,1.8591,60000,2.119140625,16.3509,3669.515,22.934
2.6,0.0003384218385014588,1.8562,61000,2.12109375,16.296,3681.888,23.012
2.64,0.0003364675380601524,1.8545,62000,2.1015625,16.3652,3666.327,22.915
2.69,0.00033449053645473334,1.855,63000,2.09375,16.3033,3680.235,23.001
2.73,0.0003324872335015075,1.8524,64000,2.08984375,17.7495,3380.381,21.127
2.77,0.00033046403660215695,1.8495,65000,2.080078125,16.2806,3685.359,23.033
2.81,0.00032841320294988243,1.8477,66000,2.08984375,16.1926,3705.398,23.159
2.86,0.00032633913427324864,1.8479,67000,2.1015625,16.2056,3702.433,23.14
2.9,0.0003242464222726226,1.8446,68000,2.09375,16.3381,3672.401,22.953
2.94,0.00032212705810580377,1.8434,69000,2.095703125,16.1971,3704.374,23.152
2.98,0.0003199877486976093,1.844,70000,2.06640625,16.1753,3709.356,23.183
3.03,0.00031782459829660087,1.838,71000,2.076171875,16.3141,3677.795,22.986
3.07,0.00031564232375555897,1.8331,72000,2.05078125,16.3397,3672.045,22.95
3.11,0.00031343916677399554,1.8327,73000,2.083984375,16.3373,3672.584,22.954
3.15,0.0003112155251932296,1.8326,74000,2.07421875,16.4494,3647.552,22.797
3.2,0.00030896954465648704,1.8295,75000,2.0625,16.2391,3694.797,23.092
3.24,0.0003067083980221805,1.8294,76000,2.048828125,16.3235,3675.673,22.973
3.28,0.00030442572631916647,1.8267,77000,2.0390625,16.3477,3670.252,22.939
3.33,0.00030212188450324135,1.8265,78000,2.06640625,16.406,3657.21,22.858
3.37,0.00029980422760330196,1.825,79000,2.0625,16.2544,3691.298,23.071
3.41,0.00029746623513068665,1.8221,80000,2.052734375,16.2199,3699.168,23.12
3.45,0.0002951082757897628,1.8216,81000,2.05859375,16.1591,3713.071,23.207
3.5,0.00029273549122351013,1.8193,82000,2.0625,16.3985,3658.882,22.868
3.54,0.0002903435605146964,1.8179,83000,2.060546875,16.4395,3649.745,22.811
3.58,0.00028794011566440686,1.8175,84000,2.04296875,16.2293,3697.019,23.106
3.62,0.0002855159586508698,1.8147,85000,2.078125,16.2033,3702.958,23.143
3.67,0.0002830787756325297,1.8132,86000,2.0234375,16.2044,3702.707,23.142
3.71,0.00028062412842049574,1.8128,87000,2.048828125,16.2914,3682.924,23.018
3.75,0.000278154893116702,1.8096,88000,2.0546875,16.2073,3702.028,23.138
3.79,0.0002756764970714283,1.8093,89000,2.033203125,16.0642,3735.004,23.344
3.84,0.00027317945542348427,1.8073,90000,2.03515625,16.1796,3708.364,23.177
3.88,0.00027067420619787485,1.8049,91000,2.0390625,16.2249,3698.022,23.113
3.92,0.00026815369104602117,1.8033,92000,2.03125,17.6446,3400.465,21.253
3.97,0.0002656183274774075,1.8017,93000,2.0234375,16.3337,3673.391,22.959
4.01,0.0002630710909595773,1.8013,94000,2.013671875,16.1777,3708.81,23.18
4.05,0.0002605150065832754,1.7952,95000,2.015625,16.0757,3732.347,23.327
4.09,0.00025794799453806645,1.7927,96000,2.025390625,16.1523,3714.636,23.216
4.14,0.0002553679332260432,1.7918,97000,1.9990234375,16.1209,3721.872,23.262
4.18,0.0002527804485941428,1.7924,98000,2.0078125,16.1936,3705.17,23.157
4.22,0.00025018082874938825,1.7909,99000,2.00390625,16.3092,3678.911,22.993
4.26,0.0002475721292091539,1.7897,100000,1.9873046875,16.4428,3649.019,22.806
4.31,0.0002449574434395623,1.7874,101000,2.01171875,16.1955,3704.722,23.155
4.35,0.00024233463935214263,1.7871,102000,2.001953125,16.2416,3694.207,23.089
4.39,0.00023970155381392743,1.7841,103000,2.0,18.4978,3243.632,20.273
4.43,0.0002370639283937122,1.7823,104000,2.0078125,16.2754,3686.557,23.041
4.48,0.00023441961004953078,1.783,105000,1.9912109375,16.0338,3742.102,23.388
4.52,0.00023176907628666614,1.7799,106000,1.9921875,16.307,3679.395,22.996
4.56,0.00022911280573276833,1.7787,107000,1.9716796875,16.4507,3647.254,22.795
4.6,0.00022644861138625317,1.7762,108000,1.9794921875,16.5124,3633.624,22.71
4.65,0.00022378230265015887,1.7775,109000,1.97265625,16.2576,3690.586,23.066
4.69,0.00022110902409027157,1.7739,110000,1.9716796875,16.2925,3682.685,23.017
4.73,0.00021843460491819072,1.7737,111000,1.9736328125,16.2645,3689.011,23.056
4.78,0.00021575417493033695,1.772,112000,1.974609375,16.3284,3674.571,22.966
4.82,0.00021307626347281052,1.7708,113000,1.9599609375,16.0775,3731.916,23.324
4.86,0.00021039062213575646,1.7692,114000,1.970703125,16.2593,3690.195,23.064
4.9,0.00020770578902311776,1.7652,115000,1.9765625,16.3218,3676.073,22.975
4.95,0.00020501956441577597,1.766,116000,1.9697265625,16.1672,3711.214,23.195
4.99,0.00020233243338635667,1.764,117000,1.9619140625,16.5137,3633.339,22.708
5.03,0.00019964488117116489,1.7587,118000,1.9638671875,16.2754,3686.552,23.041
5.07,0.0001969573930825625,1.7551,119000,1.9560546875,16.4186,3654.388,22.84
5.12,0.00019426776523045778,1.7542,120000,1.953125,16.4193,3654.24,22.839
5.16,0.00019158455038904024,1.7533,121000,1.9541015625,16.2092,3701.607,23.135
5.2,0.00018889747985232044,1.7531,122000,1.958984375,16.3848,3661.921,22.887
5.24,0.00018621510209683578,1.7512,123000,1.947265625,16.2693,3687.929,23.05
5.29,0.00018353521358837783,1.7513,124000,1.9365234375,16.0462,3739.192,23.37
