epoch,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0.04,0.00039880000000000004,2.4309,1000,2.22265625,16.0974,3727.319,23.296
0.09,0.0003999820144464244,2.1956,2000,2.169921875,15.8358,3788.886,23.681
0.13,0.00039992798885129144,2.1405,3000,2.125,16.1525,3714.602,23.216
0.17,0.0003998378246319543,2.0983,4000,2.087890625,15.9501,3761.736,23.511
0.21,0.00039971142968169975,2.0719,5000,2.08984375,15.7701,3804.657,23.779
0.26,0.0003995490796107545,2.0571,6000,2.0625,15.906,3772.152,23.576
0.3,0.0003993506953989275,2.044,7000,2.0546875,16.0377,3741.189,23.382
0.34,0.0003991160602312546,2.0329,8000,2.044921875,15.8655,3781.797,23.636
0.38,0.00039884568574092714,2.0227,9000,2.048828125,15.9317,3766.079,23.538
0.43,0.00039853940412706054,2.0161,10000,2.037109375,16.2238,3698.276,23.114
0.47,0.0003981972706973255,2.007,11000,2.017578125,16.0496,3738.412,23.365
0.51,0.0003978197434080027,2.003,12000,2.017578125,15.9875,3752.925,23.456
0.55,0.00039740613387583527,1.9952,13000,2.015625,15.995,3751.163,23.445
0.6,0.00039695640963216387,1.9893,14000,2.00390625,15.9852,3753.483,23.459
0.64,0.0003964715513221847,1.9836,15000,1.998046875,15.9134,3770.413,23.565
0.68,0.00039595067600327544,1.9778,16000,1.994140625,15.8229,3791.979,23.7
0.72,0.0003953949194689506,1.9716,17000,1.986328125,16.0911,3728.767,23.305
0.77,0.000394803878942991,1.9685,18000,1.9912109375,15.9995,3750.123,23.438
0.81,0.0003941770167229794,1.9648,19000,1.9853515625,16.461,3644.989,22.781
0.85,0.0003935163791836767,1.9583,20000,1.9775390625,16.0999,3726.737,23.292
0.9,0.00039281943805468436,1.9571,21000,1.978515625,15.9385,3764.476,23.528
0.94,0.00039208835748066195,1.9528,22000,1.9765625,15.8126,3794.442,23.715
0.98,0.0003913218061403024,1.9476,23000,1.9619140625,16.0003,3749.932,23.437
1.02,0.0003905222739137665,1.9411,24000,1.9716796875,15.9781,3755.135,23.47
1.07,0.00038968670097847257,1.9366,25000,1.9697265625,15.9037,3772.71,23.579
1.11,0.0003888176932076296,1.9339,26000,1.955078125,15.8195,3792.776,23.705
1.15,0.000387914589146434,1.932,27000,1.96484375,15.9566,3760.197,23.501
1.19,0.0003869775518754624,1.9293,28000,1.951171875,16.0717,3733.276,23.333
1.24,0.00038600576197209,1.9256,29000,1.951171875,15.9149,3770.049,23.563
1.28,0.00038500236063387043,1.9225,30000,1.9521484375,17.0687,3515.207,21.97
1.32,0.0003839635078278801,1.9197,31000,1.943359375,15.938,3764.581,23.529
1.36,0.00038289245745307446,1.9185,32000,1.9462890625,16.0898,3729.069,23.307
1.41,0.00038178838075416386,1.9172,33000,1.93359375,16.0955,3727.749,23.298
1.45,0.0003806503226829952,1.913,34000,1.951171875,15.9032,3772.824,23.58
1.49,0.00037947957782766707,1.9104,35000,1.935546875,15.8857,3776.982,23.606
1.53,0.000378278796728082,1.908,36000,1.9306640625,16.0468,3739.061,23.369
1.58,0.00037704463542737043,1.9035,37000,1.931640625,16.0117,3747.266,23.42
1.62,0.00037577722044929705,1.9029,38000,1.9287109375,16.011,3747.429,23.421
1.66,0.00037447931545276454,1.8996,39000,1.9296875,15.9276,3767.046,23.544
1.71,0.00037314990335909974,1.8972,40000,1.9208984375,16.0802,3731.295,23.321
1.75,0.0003717892242306608,1.8981,41000,1.91796875,15.8492,3785.688,23.661
1.79,0.0003703975237759399,1.8954,42000,1.921875,16.025,3744.157,23.401
1.83,0.00036897361408037854,1.8915,43000,1.927734375,15.9456,3762.792,23.517
1.88,0.0003675191303788036,1.8902,44000,1.9130859375,16.0495,3738.434,23.365
1.92,0.00036603883529217306,1.8868,45000,1.921875,16.5751,3619.889,22.624
1.96,0.000364525617965794,1.8853,46000,1.9111328125,16.209,3701.647,23.135
