epoch,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.04,0.000398,2.6807,1000,2.650390625,5.106,11750.773,73.442,,,,,
0.09,0.0003999820865316629,2.6032,2000,2.623046875,4.4187,13578.773,84.867,,,,,
0.13,0.00039992798885129144,2.5813,3000,2.609375,4.7315,12680.86,79.255,,,,,
0.17,0.0003998378246319543,2.5665,4000,2.59375,4.6157,12999.145,81.245,,,,,
0.21,0.00039971157413078444,2.5551,5000,2.58984375,4.617,12995.34,81.221,,,,,
0.26,0.0003995494406447869,2.545,6000,2.57421875,4.6874,12800.369,80.002,,,,,
0.3,0.0003993509119873815,2.5365,7000,2.556640625,4.623,12978.582,81.116,,,,,
0.34,0.00039911656547273746,2.5273,8000,2.55078125,4.594,13060.388,81.627,,,,,
0.38,0.00039884626291967866,2.5187,9000,2.537109375,4.673,12839.631,80.248,,,,,
0.43,0.0003985397286509198,2.5105,10000,2.5234375,4.7433,12649.529,79.06,,,,,
0.47,0.0003981976310790768,2.5006,11000,2.501953125,4.6611,12872.399,80.452,,,,,
0.51,0.0003978197434080027,2.4918,12000,2.490234375,4.65,12903.192,80.645,,,,,
0.55,0.00039740613387583527,2.4831,13000,2.4765625,4.6141,13003.666,81.273,,,,,
0.6,0.00039695687717128863,2.476,14000,2.46484375,4.6297,12959.811,80.999,,,,,
0.64,0.00039647255748259723,2.466,15000,2.447265625,4.6852,12806.416,80.04,,,,,
0.68,0.0003959517531707105,2.4574,16000,2.439453125,4.6364,12941.092,80.882,,,,,
0.72,0.0003953960673777955,2.4494,17000,2.419921875,4.5692,13131.428,82.071,,,,,
0.77,0.0003948050973859588,2.4418,18000,2.41796875,4.6786,12824.346,80.152,,,,,
0.81,0.0003941789499112824,2.4347,19000,2.400390625,4.6003,13042.567,81.516,,,,,
0.85,0.00039351773802212195,2.4251,20000,2.39453125,4.6163,12997.316,81.233,,,,,
0.9,0.00039282158111868926,2.4189,21000,2.384765625,4.7061,12749.477,79.684,,,,,
0.94,0.00039209060491149117,2.4134,22000,2.36328125,4.6432,12922.082,80.763,,,,,
0.98,0.000391324941398629,2.4061,23000,2.36328125,4.6555,12887.959,80.55,,,,,
1.02,0.00039052472884196264,2.3993,24000,2.361328125,4.7008,12763.679,79.773,,,,,
1.07,0.0003896901117421436,2.3935,25000,2.365234375,4.5769,13109.418,81.934,,,,,
1.11,0.00038882124081252126,2.3881,26000,2.353515625,4.6922,12787.065,79.919,,,,,
1.15,0.00038791827295192745,2.3829,27000,2.33984375,4.6592,12877.816,80.486,,,,,
1.19,0.000386981371216344,2.3778,28000,2.330078125,4.5769,13109.377,81.934,,,,,
1.24,0.00038601070478945846,2.3733,29000,2.326171875,4.6149,13001.488,81.259,,,,,
1.28,0.00038500644895211324,2.3679,30000,2.3125,4.5598,13158.526,82.241,,,,,
1.32,0.00038396878505065376,2.3619,31000,2.30859375,4.7005,12764.715,79.779,,,,,
1.36,0.0003828979004641814,2.3589,32000,2.302734375,4.6247,12973.795,81.086,,,,,
1.41,0.0003817939885707169,2.3538,33000,2.298828125,4.666,12858.851,80.368,,,,,
1.45,0.0003806572487122806,2.3491,34000,2.28515625,4.6088,13018.594,81.366,,,,,
1.49,0.00037948788615889574,2.3463,35000,2.291015625,4.6794,12822.234,80.139,,,,,
1.53,0.0003782861120715212,2.3414,36000,2.28515625,4.7935,12517.037,78.231,,,,,
1.58,0.00037705214346392033,2.3368,37000,2.28125,4.5987,13047.106,81.544,,,,,
1.62,0.0003757862031634737,2.3324,38000,2.2734375,4.5243,13261.584,82.885,,,,,
1.66,0.00037448851977094056,2.3282,39000,2.28125,4.7021,12760.217,79.751,,,,,
1.71,0.00037315932761917904,2.3264,40000,2.26953125,4.644,12919.802,80.749,,,,,
1.75,0.0003717988667308312,2.3226,41000,2.263671875,4.6923,12786.784,79.917,,,,,
1.79,0.0003704073827749794,2.3197,42000,2.251953125,4.7239,12701.46,79.384,,,,,
1.83,0.00036898512702278466,2.3158,43000,2.263671875,4.6211,12984.007,81.15,,,,,
1.88,0.00036753088687632913,2.3112,44000,2.259765625,4.7,12765.83,79.786,,,,,
1.92,0.00036604783337571955,2.3091,45000,2.26171875,4.6057,13027.275,81.42,,,,,
1.96,0.0003645347953167616,2.3055,46000,2.24609375,4.6233,12977.65,81.11,,,,,
2.0,0.0003629920459205929,2.3032,47000,2.259765625,4.6821,12814.729,80.092,,,,,
2.05,0.00036141986377356025,2.2986,48000,2.244140625,4.6624,12868.842,80.43,,,,,
2.09,0.0003598169153355579,2.2967,49000,2.248046875,4.6653,12860.947,80.381,,,,,
2.13,0.0003581866959122258,2.2941,50000,2.2421875,4.5941,13060.158,81.626,,,,,
2.17,0.00035652791147773344,2.2913,51000,2.2421875,4.5314,13240.887,82.756,,,,,
2.22,0.00035484086157178346,2.2893,52000,2.23046875,4.6437,12920.843,80.755,,,,,
2.26,0.0003531241202053896,2.2843,53000,2.234375,4.5861,13082.962,81.769,,,,,
2.3,0.0003513831889698986,2.2834,54000,2.234375,4.5856,13084.392,81.777,,,,,
2.34,0.0003496114052937078,2.2811,55000,2.236328125,4.6735,12838.416,80.24,,,,,
2.39,0.00034781436326856627,2.2788,56000,2.228515625,4.6129,13006.927,81.293,,,,,
2.43,0.00034598879042298014,2.2751,57000,2.224609375,4.7097,12739.641,79.623,,,,,
2.47,0.0003441386675057448,2.2725,58000,2.220703125,4.5694,13130.709,82.067,,,,,
2.52,0.0003422606253833498,2.2719,59000,2.21484375,4.7293,12686.792,79.292,,,,,
2.56,0.000340358759216355,2.2705,60000,2.216796875,4.6482,12908.308,80.677,,,,,
2.6,0.0003384315473684206,2.2653,61000,2.22265625,4.6724,12841.353,80.258,,,,,
2.64,0.00033647737128116956,2.2632,62000,2.212890625,4.6669,12856.378,80.352,,,,,
2.69,0.0003345004921289088,2.263,63000,2.220703125,4.6787,12824.107,80.151,,,,,
2.73,0.0003324993251688993,2.26,64000,2.21875,4.7576,12611.449,78.822,,,,,
2.77,0.0003304721927816777,2.2583,65000,2.216796875,4.6901,12793.014,79.956,,,,,
2.81,0.00032842351522624843,2.2555,66000,2.19921875,4.6676,12854.598,80.341,,,,,
2.86,0.0003263516472304061,2.2534,67000,2.212890625,4.6333,12949.819,80.936,,,,,
2.9,0.00032425696292758894,2.2522,68000,2.208984375,6.4466,9307.181,58.17,,,,,
2.94,0.0003221398405713544,2.2489,69000,2.205078125,5.044,11895.252,74.345,,,,,
2.98,0.0003200006624670754,2.2482,70000,2.205078125,4.5815,13096.284,81.852,,,,,
3.03,0.0003178398149029037,2.2454,71000,2.205078125,4.6732,12839.193,80.245,,,,,
3.07,0.00031565768808001544,2.2435,72000,2.19921875,4.5109,13301.06,83.132,,,,,
3.11,0.00031345246049399594,2.2407,73000,2.1953125,4.5035,13322.984,83.269,,,,,
3.15,0.0003112289407489377,2.2399,74000,2.1953125,4.667,12856.14,80.351,,,,,
3.2,0.0003089853355225087,2.238,75000,2.193359375,4.772,12573.346,78.583,,,,,
3.24,0.0003067220499600845,2.2355,76000,2.193359375,4.6898,12793.751,79.961,,,,,
3.28,0.0003044394927608733,2.2328,77000,2.1953125,4.5619,13152.46,82.203,,,,,
3.33,0.0003021380761041135,2.2326,78000,2.1875,4.5761,13111.741,81.948,,,,,
3.37,0.0002998182155746438,2.2302,79000,2.1875,4.6614,12871.669,80.448,,,,,
3.41,0.0002974803300878573,2.2283,80000,2.189453125,4.7317,12680.308,79.252,,,,,
3.45,0.0002951248418140551,2.228,81000,2.181640625,4.585,13086.107,81.788,,,,,
3.5,0.0002927521761022111,2.2253,82000,2.18359375,4.6269,12967.699,81.048,,,,,
3.54,0.0002903627614031643,2.2253,83000,2.177734375,4.4958,13345.82,83.411,,,,,
3.58,0.0002879570291922491,2.2218,84000,2.177734375,4.5726,13121.656,82.01,,,,,
3.62,0.00028553541389138114,2.2207,85000,2.18359375,4.5771,13108.798,81.93,,,,,
3.67,0.0002830983527906099,2.2187,86000,2.181640625,4.5141,13291.72,83.073,,,,,
3.71,0.0002806462859691541,2.2185,87000,2.18359375,4.6201,12986.724,81.167,,,,,
