epoch,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0.04,0.00039640000000000004,3.4849,1000,3.40234375,5.7385,10455.607,65.348
0.09,0.00039998223026791715,3.0598,2000,3.2734375,5.6353,10647.236,66.545
0.13,0.0003999282773110691,3.0236,3000,3.21875,5.6994,10527.347,65.796
0.17,0.00039983814942604604,3.0048,4000,3.232421875,5.6376,10642.906,66.518
0.21,0.0003997118629205451,2.99,5000,3.224609375,5.6253,10666.139,66.663
0.26,0.0003995494406447869,2.9782,6000,3.201171875,5.5561,10798.959,67.493
0.3,0.0003993509119873815,2.9654,7000,3.1875,5.5251,10859.44,67.871
0.34,0.00039911656547273746,2.9547,8000,3.1640625,5.5316,10846.828,67.793
0.38,0.00039884597434829274,2.9456,9000,3.1796875,5.6682,10585.378,66.159
0.43,0.0003985397286509198,2.9379,10000,3.154296875,5.5453,10820.018,67.625
0.47,0.0003981976310790768,2.9291,11000,3.13671875,5.5729,10766.447,67.29
0.51,0.0003978197434080027,2.9216,12000,3.1328125,5.5531,10804.77,67.53
0.55,0.00039740613387583527,2.9128,13000,3.12890625,5.5592,10792.882,67.456
0.6,0.00039695687717128863,2.9063,14000,3.130859375,5.5943,10725.176,67.032
0.64,0.0003964715513221847,2.8964,15000,3.095703125,5.7158,10497.244,65.608
0.68,0.0003959517531707105,2.8875,16000,3.1015625,5.5704,10771.186,67.32
0.72,0.0003953954934410507,2.8795,17000,3.08203125,5.5185,10872.513,67.953
0.77,0.0003948044881820991,2.8715,18000,3.107421875,5.6734,10575.66,66.098
0.81,0.0003941783055503164,2.8625,19000,3.10546875,5.6102,10694.874,66.843
0.85,0.00039351705862040705,2.8519,20000,3.06640625,5.7268,10477.022,65.481
0.9,0.000392820152444242,2.8459,21000,3.048828125,5.6044,10705.787,66.911
0.94,0.00039208910665902876,2.8382,22000,3.068359375,5.5463,10817.955,67.612
0.98,0.0003913225900068117,2.8302,23000,3.04296875,5.6119,10691.494,66.822
1.02,0.0003905222739137665,2.8226,24000,3.044921875,5.5652,10781.354,67.383
1.07,0.0003896875537208742,2.8151,25000,3.033203125,5.6125,10690.368,66.815
1.11,0.00038881858016010055,2.8072,26000,3.05078125,5.6291,10658.939,66.618
1.15,0.0003879164311171848,2.8015,27000,3.03125,5.6795,10564.394,66.027
1.19,0.00038697850676143144,2.7963,28000,3.013671875,5.714,10500.578,65.629
1.24,0.0003860077392000076,2.79,29000,3.029296875,5.5618,10787.829,67.424
1.28,0.00038500338276364367,2.7831,30000,3.02734375,5.6313,10654.734,66.592
1.32,0.0003839656188168513,2.7765,31000,3.013671875,5.6272,10662.409,66.64
1.36,0.0003828946347567976,2.7721,32000,3.0078125,5.5376,10834.991,67.719
1.41,0.0003817906239794661,2.7654,33000,3.0078125,5.7181,10492.97,65.581
1.45,0.0003806537858447334,2.7609,34000,2.998046875,5.5174,10874.766,67.967
1.49,0.00037948432564036935,2.756,35000,3.01953125,5.6049,10704.998,66.906
1.53,0.0003782812353049301,2.7508,36000,2.970703125,5.5983,10717.607,66.985
1.58,0.00037704713823436225,2.7451,37000,2.96875,5.5539,10803.14,67.52
1.62,0.000375781070374782,2.7408,38000,3.001953125,5.5683,10775.32,67.346
1.66,0.0003744832603499831,2.7351,39000,2.9921875,5.5334,10843.307,67.771
1.71,0.0003731539425156908,2.7316,40000,2.9765625,5.643,10632.633,66.454
1.75,0.00037179335691724243,2.7287,41000,2.951171875,5.6014,10711.574,66.947
1.79,0.00037040174924624027,2.7246,42000,2.97265625,5.6626,10595.813,66.224
1.83,0.00036897937079618566,2.7196,43000,2.955078125,5.673,10576.472,66.103
1.88,0.00036752647841710033,2.7144,44000,2.94921875,5.6177,10680.529,66.753
1.92,0.00036604333446914545,2.7119,45000,2.962890625,5.5392,10831.956,67.7
1.96,0.00036453020677524494,2.7075,46000,2.955078125,5.5755,10761.297,67.258
2.0,0.0003629873685727225,2.705,47000,2.94921875,5.619,10678.048,66.738
2.05,0.00036141509846396167,2.6984,48000,2.9453125,5.6481,10623.129,66.395
2.09,0.0003598136803660953,2.6976,49000,2.95703125,5.7003,10525.753,65.786
2.13,0.00035818340345973744,2.6939,50000,2.962890625,6.2372,9619.678,60.123
2.17,0.0003565245621367631,2.6917,51000,2.947265625,5.7318,10467.871,65.424
2.22,0.0003548374559471481,2.6881,52000,2.9296875,5.6343,10649.085,66.557
2.26,0.0003531223895448762,2.682,53000,2.93359375,5.6172,10681.459,66.759
2.3,0.00035137967263292643,2.68,54000,2.9375,5.7313,10468.841,65.43
2.34,0.00034960961990734656,2.6786,55000,2.951171875,5.5332,10843.541,67.772
2.39,0.0003478125510004266,2.6756,56000,2.923828125,5.6387,10640.75,66.505
2.43,0.00034598879042298014,2.6716,57000,2.927734375,5.5837,10745.597,67.16
2.47,0.0003441368024345292,2.6671,58000,2.912109375,5.5695,10773.046,67.332
2.52,0.0003422606253833498,2.6675,59000,2.9140625,5.6247,10667.16,66.67
2.56,0.000340358759216355,2.6653,60000,2.919921875,5.5554,10800.297,67.502
