epoch,learning_rate,loss,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.04,0.00039840000000000003,3.1497,1000,3.078125,5.7703,10398.036,64.988,,,,,
0.09,0.00039998205050713624,3.0123,2000,3.03515625,5.4068,11097.143,69.357,,,,,
0.13,0.0003999279166459084,2.9832,3000,3.01953125,5.3754,11161.943,69.762,,,,,
0.17,0.0003998377162949388,2.9653,4000,3.005859375,5.3037,11312.955,70.706,,,,,
0.21,0.00039971142968169975,2.9509,5000,3.0,5.3154,11288.036,70.55,,,,,
0.26,0.0003995490796107545,2.9397,6000,2.9765625,5.2809,11361.767,71.011,,,,,
0.3,0.0003993506953989275,2.9276,7000,2.96875,5.1937,11552.352,72.202,,,,,
0.34,0.00039911631287001037,2.9151,8000,2.947265625,5.2955,11330.337,70.815,,,,,
0.38,0.00039884597434829274,2.9033,9000,2.935546875,5.1989,11540.863,72.13,,,,,
0.43,0.0003985397286509198,2.8919,10000,2.912109375,5.3588,11196.459,69.978,,,,,
0.47,0.0003981976310790768,2.8787,11000,2.88671875,5.2386,11453.39,71.584,,,,,
0.51,0.0003978197434080027,2.8673,12000,2.869140625,5.2236,11486.323,71.79,,,,,
0.55,0.00039740613387583527,2.8547,13000,2.8515625,5.3053,11309.398,70.684,,,,,
0.6,0.00039695687717128863,2.8449,14000,2.830078125,5.3543,11205.937,70.037,,,,,
0.64,0.000396472054420166,2.8315,15000,2.810546875,5.3618,11190.295,69.939,,,,,
0.68,0.0003959517531707105,2.8212,16000,2.798828125,5.4527,11003.759,68.773,,,,,
0.72,0.0003953960673777955,2.8104,17000,2.783203125,5.2929,11335.883,70.849,,,,,
0.77,0.0003948050973859588,2.8019,18000,2.78125,5.3313,11254.207,70.339,,,,,
0.81,0.0003941789499112824,2.7918,19000,2.767578125,5.3427,11230.19,70.189,,,,,
0.85,0.00039351773802212195,2.7807,20000,2.75,5.3216,11274.814,70.468,,,,,
0.9,0.00039282158111868926,2.7752,21000,2.740234375,5.2752,11374.064,71.088,,,,,
0.94,0.00039209060491149117,2.7674,22000,2.73046875,5.282,11359.273,70.995,,,,,
0.98,0.000391324941398629,2.7599,23000,2.712890625,5.3243,11269.059,70.432,,,,,
1.02,0.00039052472884196264,2.7522,24000,2.720703125,5.2986,11323.727,70.773,,,,,
1.07,0.0003896901117421436,2.7452,25000,2.7109375,5.3996,11111.835,69.449,,,,,
1.11,0.00038882124081252126,2.7383,26000,2.703125,5.4092,11092.316,69.327,,,,,
1.15,0.00038791827295192745,2.7332,27000,2.6875,5.3377,11240.729,70.255,,,,,
1.19,0.000386981371216344,2.7288,28000,2.6875,5.4323,11045.115,69.032,,,,,
1.24,0.00038601070478945846,2.7231,29000,2.677734375,5.3055,11309.081,70.682,,,,,
1.28,0.00038500644895211324,2.7175,30000,2.669921875,5.443,11023.405,68.896,,,,,
1.32,0.00038396878505065376,2.7113,31000,2.671875,5.2844,11354.278,70.964,,,,,
1.36,0.0003828979004641814,2.7077,32000,2.671875,5.371,11171.035,69.819,,,,,
1.41,0.0003817939885707169,2.7017,33000,2.66015625,5.3349,11246.791,70.292,,,,,
1.45,0.0003806572487122806,2.6988,34000,2.658203125,5.3362,11243.993,70.275,,,,,
1.49,0.00037948669935186364,2.6945,35000,2.65625,5.3229,11272.081,70.451,,,,,
1.53,0.0003782848929282621,2.6905,36000,2.646484375,5.3654,11182.765,69.892,,,,,
1.58,0.0003770508922045846,2.685,37000,2.646484375,5.326,11265.514,70.409,,,,,
1.62,0.00037578492001401093,2.6818,38000,2.638671875,5.3512,11212.524,70.078,,,,,
1.66,0.0003744872049630591,2.6767,39000,2.63671875,5.3053,11309.418,70.684,,,,,
1.71,0.0003731579813903042,2.6743,40000,2.638671875,5.4176,11075.048,69.219,,,,,
1.75,0.0003717974893240619,2.6717,41000,2.62890625,5.3657,11182.213,69.889,,,,,
1.79,0.00037040456607227663,2.6692,42000,2.638671875,5.1986,11541.531,72.135,,,,,
1.83,0.0003689822489706372,2.6642,43000,2.62890625,5.269,11387.405,71.171,,,,,
1.88,0.0003675294174202326,2.6602,44000,2.625,5.3193,11279.747,70.498,,,,,
1.92,0.0003660463337702396,2.6583,45000,2.623046875,5.3271,11263.095,70.394,,,,,
1.96,0.0003645332658326936,2.6545,46000,2.6171875,5.4134,11083.593,69.272,,,,,
2.0,0.0003629904868341279,2.6521,47000,2.61328125,5.3557,11202.989,70.019,,,,,
2.05,0.0003614182753662347,2.6467,48000,2.6171875,5.2744,11375.713,71.098,,,,,
2.09,0.0003598152978652853,2.6461,49000,2.61328125,5.3078,11304.128,70.651,,,,,
2.13,0.00035818504970029283,2.6431,50000,2.609375,5.7836,10374.206,64.839,,,,,
2.17,0.0003565262368214094,2.6413,51000,2.6015625,5.7533,10428.868,65.18,,,,,
2.22,0.00035483915877347426,2.6385,52000,2.603515625,5.3662,11181.065,69.882,,,,,
2.26,0.0003531241202053896,2.6329,53000,2.59765625,5.425,11059.96,69.125,,,,,
2.3,0.00035138143081510815,2.6315,54000,2.59765625,5.3355,11245.447,70.284,,,,,
2.34,0.0003496114052937078,2.6304,55000,2.61328125,5.2194,11495.604,71.848,,,,,
2.39,0.00034781436326856627,2.6278,56000,2.599609375,5.2619,11402.633,71.266,,,,,
2.43,0.0003459906292456427,2.6245,57000,2.58984375,5.3134,11292.199,70.576,,,,,
2.47,0.00034414053255087964,2.6207,58000,2.595703125,5.2715,11382.021,71.138,,,,,
2.52,0.00034226440727073374,2.6209,59000,2.59375,5.3432,11229.277,70.183,,,,,
2.56,0.0003403625921918473,2.6201,60000,2.59375,5.3067,11306.554,70.666,,,,,
2.6,0.000338435430739871,2.6149,61000,2.591796875,5.2633,11399.727,71.248,,,,,
2.64,0.00033648327091744847,2.6125,62000,2.58203125,5.304,11312.198,70.701,,,,,
2.69,0.0003345064652413751,2.6128,63000,2.5859375,5.2596,11407.729,71.298,,,,,
2.73,0.0003325053706789412,2.6099,64000,2.583984375,5.2092,11518.122,71.988,,,,,
2.77,0.00033048034858347157,2.6084,65000,2.583984375,5.3511,11212.688,70.079,,,,,
2.81,0.00032842970231322416,2.6053,66000,2.580078125,5.2384,11453.87,71.587,,,,,
2.86,0.0003263579034003482,2.6035,67000,2.576171875,5.2223,11489.088,71.807,,,,,
2.9,0.0003242632870507717,2.6023,68000,2.58203125,5.3296,11257.866,70.362,,,,,
2.94,0.00032214623150578155,2.5994,69000,2.583984375,5.1748,11594.691,72.467,,,,,
2.98,0.0003200071190586857,2.5994,70000,2.576171875,5.3392,11237.546,70.235,,,,,
3.03,0.00031784633598577977,2.5961,71000,2.580078125,5.3106,11298.141,70.613,,,,,
3.07,0.0003156642724765943,2.5935,72000,2.568359375,5.2815,11360.397,71.002,,,,,
3.11,0.0003134613225634347,2.5918,73000,2.5703125,5.1931,11553.802,72.211,,,,,
3.15,0.00031123788405022817,2.5909,74000,2.572265625,5.3024,11315.672,70.723,,,,,
3.2,0.0003089943584406889,2.5884,75000,2.568359375,5.297,11327.16,70.795,,,,,
3.24,0.0003067311508658154,2.5862,76000,2.564453125,5.3722,11168.555,69.803,,,,,
3.28,0.000304448670010733,2.5842,77000,2.55859375,5.2792,11365.389,71.034,,,,,
3.33,0.0003021473280408942,2.5852,78000,2.5625,5.2635,11399.323,71.246,,,,,
3.37,0.00029982754052765065,2.5809,79000,2.5625,5.3039,11312.457,70.703,,,,,
3.41,0.0002974897263732106,2.5795,80000,2.55859375,5.3932,11125.043,69.532,,,,,
3.45,0.0002951343077349938,2.5791,81000,2.560546875,5.348,11219.149,70.12,,,,,
3.5,0.0002927617099493999,2.5769,82000,2.560546875,5.2558,11416.032,71.35,,,,,
3.54,0.0002903723614550015,2.5766,83000,2.560546875,5.2349,11461.442,71.634,,,,,
3.58,0.0002879666937151783,2.5737,84000,2.55859375,5.272,11380.968,71.131,,,,,
3.62,0.0002855451411402036,2.5711,85000,2.556640625,5.4286,11052.49,69.078,,,,,
3.67,0.0002831081410088001,2.5707,86000,2.55078125,5.1875,11566.294,72.289,,,,,
3.71,0.0002806561333891768,2.5701,87000,2.552734375,5.2314,11469.118,71.682,,,,,
3.75,0.0002781870848698756,2.5671,88000,2.556640625,5.33,11257.059,70.357,,,,,
3.79,0.0002757063793291365,2.5678,89000,2.552734375,5.3973,11116.766,69.48,,,,,
3.84,0.0002732120028942808,2.5663,90000,2.546875,5.3099,11299.629,70.623,,,,,
3.88,0.00027070440599440636,2.5633,91000,2.5546875,5.2726,11379.493,71.122,,,,,
3.92,0.00026818404144593374,2.5606,92000,2.54296875,5.3586,11196.921,69.981,,,,,
3.97,0.0002656513643708379,2.5601,93000,2.5390625,5.4309,11047.934,69.05,,,,,
4.01,0.00026310683211446315,2.5599,94000,2.544921875,5.1848,11572.33,72.327,,,,,
4.05,0.0002605509041629369,2.5578,95000,2.54296875,5.1946,11550.556,72.191,,,,,
4.09,0.0002579840420601964,2.5555,96000,2.54296875,5.3675,11178.357,69.865,,,,,
4.14,0.0002554067093246443,2.554,97000,2.53515625,5.282,11359.233,70.995,,,,,
4.18,0.0002528219661404273,2.5544,98000,2.54296875,5.3228,11272.176,70.451,,,,,
4.22,0.00025022249539849456,2.5535,99000,2.5390625,5.1824,11577.749,72.361,,,,,
4.26,0.0002476165503620267,2.5515,100000,2.546875,5.429,11051.754,69.073,,,,,
4.31,0.00024500200683195815,2.5512,101000,2.546875,6.318,9496.669,59.354,,,,,
4.35,0.0002423793369369006,2.5489,102000,2.541015625,6.1241,9797.303,61.233,,,,,
4.39,0.00023974901427290698,2.5482,103000,2.5390625,5.4871,10934.758,68.342,,,,,
4.43,0.0002371115138179508,2.5438,104000,2.5390625,5.3621,11189.639,69.935,,,,,
4.48,0.00023446466179932824,2.5462,105000,2.53515625,5.1726,11599.682,72.498,,,,,
4.52,0.0002318142298043028,2.5441,106000,2.53125,5.3334,11249.884,70.312,,,,,
4.56,0.00022915805286451973,2.5414,107000,2.5234375,5.3067,11306.422,70.665,,,,,
4.6,0.00022649661062666153,2.5415,108000,2.533203125,5.3787,11155.092,69.719,,,,,
4.65,0.00022383038368820702,2.5392,109000,2.5234375,5.2241,11485.15,71.782,,,,,
4.69,0.00022115985351064588,2.538,110000,2.53515625,5.3015,11317.574,70.735,,,,,
4.73,0.00021848550233253712,2.5382,111000,2.533203125,5.2258,11481.399,71.759,,,,,
4.78,0.00021580513120196432,2.5357,112000,2.53515625,5.2916,11338.622,70.866,,,,,
4.82,0.0002131245847962156,2.536,113000,2.525390625,5.2946,11332.294,70.827,,,,,
4.86,0.00021044166838135193,2.5344,114000,2.51953125,5.2391,11452.372,71.577,,,,,
4.9,0.00020775955470331642,2.5315,115000,2.533203125,5.4429,11023.584,68.897,,,,,
4.95,0.000205070663765722,2.5312,116000,2.515625,5.2899,11342.436,70.89,,,,,
4.99,0.00020238354544934386,2.5308,117000,2.52734375,5.1961,11547.037,72.169,,,,,
5.03,0.00019969599671748755,2.5293,118000,2.529296875,5.3132,11292.582,70.579,,,,,
5.07,0.000197008502881886,2.5261,119000,2.5234375,5.3112,11296.852,70.605,,,,,
5.12,0.00019432154924435907,2.5264,120000,2.5234375,5.2949,11331.698,70.823,,,,,
5.16,0.00019163562100917895,2.5251,121000,2.52734375,5.2455,11438.306,71.489,,,,,
5.2,0.0001889485170092713,2.525,122000,2.525390625,5.2296,11473.142,71.707,,,,,
5.24,0.00018626609660326798,2.5234,123000,2.517578125,5.3626,11188.56,69.929,,,,,
5.29,0.00018358347501708447,2.5218,124000,2.51171875,5.3079,11303.995,70.65,,,,,
5.33,0.00018090917984473913,2.5221,125000,2.5234375,5.2626,11401.139,71.257,,,,,
5.37,0.00017823297651595803,2.5201,126000,2.521484375,5.357,11200.282,70.002,,,,,
5.41,0.00017556338183866762,2.5187,127000,2.51953125,5.3425,11230.617,70.191,,,,,
5.46,0.00017289553439484953,2.519,128000,2.51953125,5.3262,11265.11,70.407,,,,,
5.5,0.00017023525155329488,2.5176,129000,2.513671875,5.2986,11323.719,70.773,,,,,
5.54,0.0001675803435655903,2.5148,130000,2.51953125,5.3783,11156.038,69.725,,,,,
5.59,0.00016492864123679633,2.515,131000,2.513671875,5.2165,11502.026,71.888,,,,,
5.63,0.00016228856876473208,2.5139,132000,2.509765625,5.1418,11669.101,72.932,,,,,
5.67,0.00015965002254994344,2.5143,133000,2.515625,5.2962,11328.784,70.805,,,,,
5.71,0.0001570214046809697,2.5125,134000,2.5078125,5.2684,11388.658,71.179,,,,,
5.76,0.00015439792835988207,2.5125,135000,2.51171875,5.2932,11335.272,70.845,,,,,
5.8,0.0001517853142021189,2.51,136000,2.515625,5.2608,11405.163,71.282,,,,,
5.84,0.0001491814065479588,2.5104,137000,2.51171875,5.3893,11133.214,69.583,,,,,
5.88,0.00014658926818908184,2.5086,138000,2.505859375,5.269,11387.332,71.171,,,,,
5.93,0.0001440015899253696,2.5079,139000,2.50390625,5.2906,11340.836,70.88,,,,,
5.97,0.0001414291886570704,2.5073,140000,2.513671875,5.2015,11535.137,72.095,,,,,
6.01,0.0001388647812840572,2.5058,141000,2.513671875,5.3719,11169.174,69.807,,,,,
6.05,0.00013630886333802276,2.505,142000,2.509765625,5.2945,11332.435,70.828,,,,,
6.1,0.00013376954661605946,2.5038,143000,2.51171875,5.2426,11444.64,71.529,,,,,
6.14,0.00013123711311257573,2.5022,144000,2.50390625,5.3882,11135.372,69.596,,,,,
6.18,0.00012871963515829018,2.5022,145000,2.5078125,5.2362,11458.728,71.617,,,,,
6.22,0.00012621252834464354,2.5009,146000,2.498046875,5.3332,11250.355,70.315,,,,,
6.27,0.00012372125953780458,2.4992,147000,2.509765625,5.4316,11046.47,69.04,,,,,
6.31,0.00012124376498081663,2.4986,148000,2.50390625,5.3954,11120.504,69.503,,,,,
6.35,0.00011878049205428436,2.498,149000,2.5,5.2396,11451.239,71.57,,,,,
6.4,0.00011633188557070126,2.4968,150000,2.498046875,5.2139,11507.775,71.924,,,,,
6.44,0.00011389595947682776,2.4945,151000,2.498046875,5.3015,11317.648,70.735,,,,,
6.48,0.00011147802542587284,2.4969,152000,2.498046875,5.486,10936.992,68.356,,,,,
6.52,0.00010907607648148497,2.4935,153000,2.5,5.2929,11335.936,70.85,,,,,
6.57,0.00010669054638240565,2.4958,154000,2.498046875,5.2442,11441.157,71.507,,,,,
6.61,0.00010431950343584183,2.4931,155000,2.498046875,5.3695,11174.321,69.84,,,,,
6.65,0.00010196811781420041,2.4931,156000,2.50390625,5.3495,11215.954,70.1,,,,,
6.69,9.963443457765884e-05,2.4919,157000,2.50390625,5.2733,11378.139,71.113,,,,,
6.74,9.731887513768487e-05,2.4914,158000,2.50390625,5.3927,11126.15,69.538,,,,,
6.78,9.502185763299014e-05,2.4909,159000,2.5,5.3637,11186.384,69.915,,,,,
