,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,max_rand_eval,norm,num_evals,num_pl_spikes,rand_W_scale,rand_bulk_max,rand_bulk_min,rand_distance,rand_mp_softrank,rand_num_spikes,rand_sigma_mp,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,ww_maxdist,ww_softrank,xmax,xmin
0,3,Embedding,0.10329940867529941,97,320,3.2989690721649483,2.355082947478606,1.876692967131529,0.8874709503968486,True,6.264251,embedding,2.4322487269931483,1.9109325,0.79686916,esm.embeddings.word_embeddings,97,1.9953065,81.45776,97,35,1.091238230211291,2.0322331363686565,0.1707340549270038,0.18685657649620482,1.0185067163696284,0,1.003264744420861,0,1,0.2290508237143206,6.264251,13.003592,success,2.5028486251831055,0.27417904138565063,,0,4.1709027,0.33417377,6.264251232147217,0.7127052545547485
1,5,Embedding,0.12323980237774357,320,1026,3.20625,25.5655513266381,-0.06340671082140978,0.9892222197975564,True,0.9943055,embedding,0.4412131231345835,2.1192455,-0.002480162,esm.embeddings.position_embeddings,320,0.98319143,131.59679,320,11,1.5593811261446213,1.0045213266062776,0.08062652875008475,0.0021935330251174,1.0216945288696297,0,1.0028428542538084,0,1,7.406792410788719,0.9943055,132.35046,success,0.9971486926078796,0.28504282236099243,under-trained,0,0.0234586,0.97640705,0.9943054914474487,0.8924794793128967
2,11,Linear,0.05949423550694266,320,320,1.0,2.312792667433455,5.2247360830777785,0.5912842126050063,True,181.57635,dense,5.255441328818585,2.7322803,2.2590594,esm.encoder.layer.0.attention.self.query,320,6.9140706,539.85895,320,20,0.7698916181520398,6.845371291643945,0.0,0.4886382209538895,0.9900638675689702,0,1.0071591447830177,0,1,0.293549364474448,181.57635,2.9731786,success,13.475027084350586,0.0011919605312868953,,0,175.02365,0.03608787,181.57635498046875,5.547662258148193
3,12,Linear,0.04690587517319636,320,320,1.0,1.5030807523630423,2.635492067531959,0.6600225210278422,True,56.675255,dense,3.5654544922174227,2.863038,1.7533935,esm.encoder.layer.0.attention.self.key,320,8.771099,729.52124,320,153,0.6622996743917455,9.256253212157958,0.0,0.4809078598059967,1.0553127858362203,0,1.0074932825235312,0,1,0.040671668239373036,56.675255,12.871953,success,7.528296947479248,0.001352704013697803,over-trained,0,47.87538,0.15526834,56.675254821777344,0.11358186602592468
4,13,Linear,0.04732820071580429,320,320,1.0,1.4714534286016607,2.208755683766446,0.6434365654739067,True,31.700827,dense,3.2059806549554217,2.6420305,1.5010707,esm.encoder.layer.0.attention.self.value,319,5.322374,438.5614,320,171,0.8541951918151062,5.565552958322233,0.0,0.5026487880789697,1.0456899885406503,0,1.0075840560288656,1,1,0.03605294476948083,31.700827,13.834384,success,5.6303486824035645,0.00014187282067723572,over-trained,1,26.238018,0.17232382,31.70082664489746,0.0371934175491333
5,17,Linear,0.08085762556462373,320,320,1.0,6.13879126567678,5.40184685724959,0.943367472617139,True,7.584952,dense,5.974008141875421,2.707912,0.87995285,esm.encoder.layer.0.attention.output.dense,320,6.2526455,510.4016,320,25,0.791807804323702,6.4785982450168085,0.0,0.042752583745975674,1.036137109989166,0,1.0076977917138146,0,1,1.027758253135356,7.584952,67.29134,success,2.7540791034698486,0.0038553953636437654,under-trained,0,1.2994008,0.828687,7.584951877593994,4.094884872436523
6,21,Linear,0.039156703315005814,320,1280,4.0,3.11118597318974,7.07321147736611,0.916507362159116,True,187.70564,dense,7.357215510537517,3.5580091,2.2734776,esm.encoder.layer.0.intermediate.dense,320,25.444983,3614.1743,320,39,0.297554878669591,25.440014457797403,2.8266682730886004,0.21672503681593985,0.9998046970367432,0,1.000540086184628,0,1,0.3380603122260693,187.70564,19.254478,success,13.700571060180664,0.32119670510292053,,0,162.63812,0.13354696,187.7056427001953,21.712963104248047
7,23,Linear,0.037578991618294505,320,1280,4.0,3.902805892693807,5.810562273458998,0.9670912802918459,True,30.818853,dense,5.9653018704312615,3.0109425,1.4888166,esm.encoder.layer.0.output.dense,320,7.14657,1025.5155,320,31,0.5586013366706539,7.234790477806655,0.8038656086451839,0.10625519091183394,1.0123445039758678,0,1.0016677485278045,0,1,0.5213593290823733,30.818853,33.27559,success,5.551473140716553,0.2755909264087677,,0,23.693893,0.23118834,30.8188533782959,6.300069808959961
8,29,Linear,0.04614178768826316,320,320,1.0,2.8657028694493114,5.923514164662358,0.8588930501725983,True,116.69091,dense,6.199368838610661,3.2448053,2.067037,esm.encoder.layer.1.attention.self.query,320,21.567617,1757.1353,320,33,0.4267484511150531,22.294556787140266,0.0,0.18361866558723142,1.0337051019630437,0,1.007491473564773,0,1,0.32477718222355545,116.69091,15.05803,success,10.802356719970703,0.001546924002468586,,0,94.71489,0.18832678,116.69091033935547,13.474534034729004
9,30,Linear,0.06382081554776609,320,320,1.0,3.8704377344482803,7.678130752787807,0.8614291237911899,True,96.335976,dense,7.736325832451165,3.1626859,1.9837887,esm.encoder.layer.1.attention.self.key,320,17.688309,1454.4061,320,15,0.4690624951761779,18.428085658794487,0.0,0.17093643855893378,1.0418229080543522,0,1.0067944781219065,0,1,0.7411438361229025,96.335976,15.097227,success,9.815089225769043,0.002009578514844179,,0,78.00742,0.19025655,96.33597564697266,19.378589630126953
